Temperature (K)	Pressure (MPa)	"Density (l, mol/m3)"	"Volume (l, m3/mol)"	"Internal Energy (l, kJ/mol)"	"Enthalpy (l, kJ/mol)"	"Entropy (l, J/mol*K)"	"Cv (l, J/mol*K)"	"Cp (l, J/mol*K)"	"Density (v, mol/m3)"	"Volume (v, m3/mol)"	"Internal Energy (v, kJ/mol)"	"Enthalpy (v, kJ/mol)"	"Entropy (v, J/mol*K)"	"Cv (v, J/mol*K)"	"Cp (v, J/mol*K)"
337	0.023781322	54461.46443	1.84E-05	4.8150387	4.815475363	15.84242111	71.28667228	75.42839595	8.538547289	0.117115941	44.33407247	47.11924437	141.3728929	26.74078681	35.53621226
338	0.024874068	54431.53479	1.84E-05	4.890467592	4.890924571	16.06591501	71.19415018	75.43737821	8.906060647	0.112283089	44.35744489	47.15038208	141.0938958	26.76703334	35.57436872
339	0.02600913	54401.29234	1.84E-05	4.965905386	4.966383483	16.288775	71.1014002	75.44662992	9.28669348	0.107680953	44.3807758	47.18146372	140.8170353	26.79370503	35.61322071
340	0.027187814	54370.73978	1.84E-05	5.041352342	5.041852387	16.51100559	71.00843602	75.45615261	9.680808837	0.103297154	44.40406443	47.21248826	140.5422876	26.82081124	35.65278319
341	0.028411454	54339.87974	1.84E-05	5.116808723	5.11733157	16.73261123	70.91527113	75.46594811	10.08877648	0.099120047	44.42731003	47.24345465	140.2696291	26.84836139	35.6930712
342	0.029681411	54308.71477	1.84E-05	5.192274792	5.192821323	16.95359638	70.82191885	75.47601851	10.51097292	0.095138672	44.45051181	47.27436181	139.9990364	26.87636484	35.73409989
343	0.030999078	54277.24735	1.84E-05	5.267750814	5.268321939	17.17396542	70.72839231	75.48636613	10.94778147	0.091342707	44.47366901	47.30520869	139.7304866	26.90483099	35.77588446
344	0.032365875	54245.4799	1.84E-05	5.343237058	5.343833713	17.39372273	70.63470446	75.49699352	11.39959227	0.087722436	44.49678082	47.33599419	139.4639567	26.93376922	35.81844023
345	0.033783253	54213.41475	1.84E-05	5.418733792	5.419356945	17.61287265	70.54086804	75.50790344	11.86680238	0.084268699	44.51984645	47.36671722	139.1994242	26.96318895	35.8617826
346	0.035252692	54181.0542	1.85E-05	5.494241289	5.494891935	17.83141947	70.44689561	75.51909884	12.34981576	0.080972868	44.5428651	47.39737669	138.9368667	26.99309957	35.90592711
347	0.036775703	54148.40045	1.85E-05	5.569759824	5.570438989	18.04936748	70.35279951	75.53058285	12.84904334	0.077826806	44.56583596	47.42797148	138.6762623	27.02351053	35.95088938
348	0.038353827	54115.45567	1.85E-05	5.645289675	5.645998416	18.26672093	70.2585919	75.54235877	13.36490308	0.07482284	44.58875821	47.45850046	138.4175889	27.05443129	35.99668517
349	0.039988635	54082.22195	1.85E-05	5.720831122	5.721570527	18.48348403	70.16428472	75.55443002	13.89781998	0.071953731	44.61163102	47.48896251	138.1608249	27.08587134	36.04333037
350	0.04168173	54048.70132	1.85E-05	5.79638445	5.797155638	18.69966098	70.06988972	75.5668002	14.44822614	0.069212649	44.63445355	47.51935647	137.9059491	27.11784019	36.09084099
351	0.043434745	54014.89577	1.85E-05	5.871949944	5.872754069	18.91525595	69.97541844	75.57947302	15.0165608	0.066593144	44.65722497	47.54968119	137.6529401	27.1503474	36.13923319
352	0.045249345	53980.80723	1.85E-05	5.947527895	5.948366144	19.13027307	69.8808822	75.59245229	15.60327035	0.064089129	44.67994443	47.57993551	137.401777	27.18340256	36.18852327
353	0.047127227	53946.43756	1.85E-05	6.023118598	6.023992191	19.34471646	69.78629213	75.60574195	16.20880842	0.06169485	44.70261106	47.61011826	137.152439	27.21701531	36.23872767
354	0.04907012	53911.78859	1.85E-05	6.098722348	6.099632541	19.55859021	69.69165913	75.61934602	16.83363587	0.059404873	44.72522401	47.64022825	136.9049058	27.25119533	36.28986301
355	0.051079784	53876.86208	1.86E-05	6.174339448	6.175287532	19.77189838	69.59699391	75.63326862	17.47822086	0.057214061	44.7477824	47.67026427	136.6591568	27.28595236	36.34194604
356	0.053158012	53841.65975	1.86E-05	6.2499702	6.250957503	19.98464503	69.50230696	75.64751395	18.14303888	0.055117558	44.77028535	47.70022514	136.4151721	27.32129616	36.39499369
357	0.055306629	53806.18328	1.86E-05	6.325614914	6.3266428	20.19683415	69.40760857	75.66208627	18.82857278	0.05311077	44.79273197	47.73010962	136.1729317	27.35723656	36.44902302
358	0.057527494	53770.43427	1.86E-05	6.401273901	6.402343774	20.40846976	69.3129088	75.67698992	19.53531279	0.051189352	44.81512137	47.75991651	135.9324159	27.39378345	36.50405129
359	0.059822498	53734.41431	1.86E-05	6.476947478	6.478060777	20.61955583	69.21821752	75.6922293	20.26375662	0.049349191	44.83745265	47.78964455	135.6936053	27.43094675	36.56009591
360	0.062193565	53698.12493	1.86E-05	6.552635962	6.55379417	20.83009629	69.12354437	75.70780885	21.01440942	0.047586396	44.85972489	47.8192925	135.4564806	27.46873643	36.61717445
361	0.064642654	53661.56761	1.86E-05	6.62833968	6.629544316	21.04009509	69.02889881	75.72373307	21.78778387	0.045897279	44.88193718	47.84885912	135.2210225	27.50716253	36.67530465
362	0.067171755	53624.74379	1.86E-05	6.704058956	6.705311582	21.24955613	68.93429008	75.74000649	22.58440018	0.044278351	44.9040886	47.87834313	134.9872123	27.5462351	36.7345044
363	0.069782893	53587.65487	1.87E-05	6.779794124	6.781096344	21.45848329	68.83972719	75.7566337	23.40478618	0.042726304	44.9261782	47.90774325	134.7550312	27.58596427	36.79479178
364	0.072478127	53550.30221	1.87E-05	6.855545518	6.856898977	21.66688044	68.74521898	75.77361931	24.24947727	0.041238002	44.94820505	47.93705821	134.5244607	27.62636018	36.85618498
365	0.07525955	53512.68712	1.87E-05	6.931313479	6.932719866	21.87475142	68.65077407	75.79096796	25.11901655	0.039810476	44.9701682	47.9662867	134.2954825	27.66743301	36.91870238
366	0.07812929	53474.81088	1.87E-05	7.007098348	7.008559397	22.08210006	68.55640087	75.80868432	26.01395478	0.038440906	44.9920667	47.99542743	134.0680783	27.70919298	36.98236248
367	0.081089509	53436.67473	1.87E-05	7.082900475	7.084417963	22.28893016	68.46210762	75.82677309	26.93485047	0.037126622	45.01389958	48.02447908	133.8422302	27.75165033	37.04718395
368	0.084142402	53398.27986	1.87E-05	7.15872021	7.160295961	22.49524551	68.36790231	75.84523899	27.88226989	0.035865086	45.03566588	48.05344033	133.6179204	27.79481529	37.11318555
369	0.0872902	53359.62744	1.87E-05	7.234557909	7.236193794	22.70104986	68.27379278	75.86408675	28.8567871	0.034653893	45.05736462	48.08230984	133.3951313	27.83869814	37.1803862
370	0.090535171	53320.71858	1.88E-05	7.310413932	7.312111868	22.90634697	68.17978666	75.88332112	29.85898401	0.033490758	45.07899481	48.11108628	133.1738454	27.88330912	37.24880492
371	0.093879614	53281.55437	1.88E-05	7.386288642	7.388050596	23.11114055	68.08589136	75.90294688	30.88945041	0.032373512	45.10055548	48.1397683	132.9540454	27.92865849	37.31846084
372	0.097325866	53242.13587	1.88E-05	7.462182408	7.464010394	23.31543432	67.99211415	75.9229688	31.94878398	0.031300096	45.12204561	48.16835453	132.7357143	27.97475647	37.38937318
373	0.100876298	53202.46408	1.88E-05	7.5380956	7.539991684	23.51923196	67.89846207	75.94339169	33.03759036	0.030268551	45.14346421	48.19684362	132.518835	28.02161327	37.46156125
374	0.104533318	53162.54	1.88E-05	7.614028596	7.615994892	23.72253715	67.80494198	75.96422034	34.15648317	0.029277019	45.16481028	48.22523418	132.3033909	28.06923904	37.53504443
375	0.108299367	53122.36456	1.88E-05	7.689981774	7.692020451	23.92535352	67.71156058	75.98545958	35.30608408	0.02832373	45.18608278	48.25352483	132.0893652	28.11764389	37.60984215
376	0.112176924	53081.93869	1.88E-05	7.765955519	7.768068797	24.12768472	67.61832436	76.00711424	36.48702279	0.027407005	45.20728071	48.28171419	131.8767416	28.16683786	37.6859739
377	0.116168504	53041.26325	1.89E-05	7.841950218	7.844140371	24.32953436	67.52523963	76.02918914	37.69993711	0.026525243	45.22840303	48.30980085	131.6655038	28.21683093	37.76345919
378	0.120276655	53000.3391	1.89E-05	7.917966264	7.92023562	24.53090603	67.43231256	76.05168913	38.94547301	0.025676925	45.24944871	48.3377834	131.4556356	28.26763296	37.84231756
379	0.124503965	52959.16706	1.89E-05	7.994004052	7.996354995	24.73180332	67.33954911	76.07461908	40.22428462	0.024860604	45.27041671	48.36566044	131.2471211	28.31925374	37.92256853
380	0.128853054	52917.74791	1.89E-05	8.070063983	8.072498952	24.93222978	67.24695508	76.09798384	41.53703429	0.024074901	45.29130598	48.39343053	131.0399445	28.37170291	38.00423163
381	0.133326581	52876.0824	1.89E-05	8.146146461	8.148667952	25.13218896	67.15453609	76.12178828	42.88439265	0.023318507	45.31211549	48.42109226	130.83409	28.42499001	38.08732634
382	0.13792724	52834.17125	1.89E-05	8.222251893	8.224862462	25.33168439	67.06229763	76.14603729	44.26703862	0.022590172	45.33284416	48.44864419	130.6295423	28.4791244	38.1718721
383	0.142657763	52792.01516	1.89E-05	8.298380691	8.301082951	25.53071957	66.97024498	76.17073576	45.68565949	0.021888707	45.35349094	48.47608487	130.4262859	28.53411533	38.2578883
384	0.147520917	52749.6148	1.90E-05	8.374533271	8.377329897	25.72929799	66.87838329	76.1958886	47.1409509	0.021212979	45.37405476	48.50341286	130.2243057	28.58997181	38.34539424
385	0.152519504	52706.97078	1.90E-05	8.450710053	8.453603779	25.92742315	66.78671755	76.22150073	48.63361696	0.020561909	45.39453455	48.5306267	130.0235866	28.64670272	38.43440912
386	0.157656367	52664.08373	1.90E-05	8.526911461	8.529905083	26.12509848	66.69525258	76.24757706	50.16437025	0.019934467	45.41492924	48.55772493	129.8241136	28.70431669	38.52495203
387	0.162934381	52620.95421	1.90E-05	8.603137922	8.606234301	26.32232744	66.60399307	76.27412254	51.73393189	0.019329673	45.43523775	48.58470609	129.6258721	28.76282216	38.61704193
388	0.16835646	52577.58277	1.90E-05	8.679389869	8.682591926	26.51911345	66.51294354	76.30114214	53.34303154	0.018746591	45.45545899	48.6115687	129.4288474	28.82222731	38.71069764
389	0.173925555	52533.96994	1.90E-05	8.755667735	8.758978461	26.71545993	66.42210838	76.32864082	54.99240751	0.018184328	45.47559187	48.63831128	129.233025	28.8825401	38.80593782
390	0.179644653	52490.11619	1.91E-05	8.831971962	8.835394409	26.91137026	66.33149182	76.35662357	56.68280678	0.017642034	45.49563531	48.66493237	129.0383907	28.94376819	38.90278093
391	0.185516777	52446.022	1.91E-05	8.908302991	8.911840281	27.10684782	66.24109797	76.38509541	58.41498504	0.017118895	45.51558821	48.69143045	128.8449301	29.00591899	39.00124526
392	0.19154499	52401.68781	1.91E-05	8.984661272	8.988316593	27.30189599	66.15093078	76.41406137	60.18970677	0.016614136	45.53544946	48.71780405	128.6526293	29.0689996	39.10134888
393	0.197732388	52357.11401	1.91E-05	9.061047253	9.064823863	27.4965181	66.0609941	76.44352648	62.00774526	0.016127018	45.55521797	48.74405167	128.4614744	29.13301683	39.20310962
394	0.204082106	52312.301	1.91E-05	9.137461392	9.141362618	27.69071749	65.9712916	76.47349584	63.86988269	0.015656832	45.57489263	48.77017181	128.2714515	29.19797715	39.30654509
395	0.210597316	52267.24914	1.91E-05	9.213904146	9.217933387	27.88449748	65.88182686	76.50397455	65.77691017	0.015202903	45.59447233	48.79616295	128.082547	29.26388671	39.41167264
396	0.217281227	52221.95874	1.91E-05	9.290375979	9.294536704	28.07786137	65.79260332	76.53496772	67.72962781	0.014764587	45.61395596	48.8220236	127.8947475	29.33075131	39.51850935
397	0.224137085	52176.43013	1.92E-05	9.366877356	9.37117311	28.27081244	65.7036243	76.56648052	69.72884476	0.014341267	45.6333424	48.84775224	127.7080395	29.39857639	39.62707202
398	0.231168171	52130.66357	1.92E-05	9.44340875	9.447843149	28.46335397	65.61489299	76.59851813	71.77537931	0.013932354	45.65263053	48.87334734	127.5224097	29.46736704	39.73737716
399	0.238377806	52084.65932	1.92E-05	9.519970634	9.524547371	28.65548921	65.52641247	76.63108578	73.8700589	0.013537284	45.67181924	48.89880741	127.3378452	29.53712795	39.84944098
400	0.245769346	52038.4176	1.92E-05	9.596563487	9.601286331	28.84722142	65.43818571	76.66418872	76.01372019	0.01315552	45.69090741	48.9241309	127.1543328	29.60786343	39.96327936
401	0.253346184	51991.93863	1.92E-05	9.673187791	9.678060589	29.03855381	65.35021556	76.69783224	78.20720919	0.012786545	45.7098939	48.94931629	126.9718598	29.6795774	40.07890788
402	0.261111753	51945.22257	1.93E-05	9.749844033	9.754870708	29.22948962	65.26250476	76.73202168	80.45138124	0.012429867	45.72877759	48.97436206	126.7904134	29.75227335	40.19634178
403	0.269069519	51898.26958	1.93E-05	9.826532703	9.831717259	29.42003202	65.17505595	76.76676241	82.74710112	0.012085016	45.74755736	48.99926667	126.6099809	29.82595439	40.31559596
404	0.277222986	51851.07979	1.93E-05	9.903254295	9.908600818	29.61018423	65.08787165	76.80205985	85.09524313	0.011751538	45.76623207	49.02402858	126.43055	29.90062318	40.43668498
405	0.285575698	51803.6533	1.93E-05	9.980009307	9.985521963	29.7999494	65.00095431	76.83791945	87.49669115	0.011429004	45.78480058	49.04864626	126.2521082	29.97628198	40.55962305
406	0.294131231	51755.99018	1.93E-05	10.05679824	10.06248128	29.98933071	64.91430625	76.87434673	89.9523387	0.011116998	45.80326177	49.07311817	126.0746433	30.05293259	40.68442401
407	0.302893202	51708.0905	1.93E-05	10.13362161	10.13947936	30.17833129	64.82792971	76.91134726	92.46308904	0.010815126	45.82161449	49.09744277	125.8981431	30.1305764	40.81110138
408	0.311865263	51659.95428	1.94E-05	10.21047991	10.2165168	30.36695429	64.74182683	76.94892665	95.02985523	0.010523009	45.83985761	49.12161851	125.7225957	30.20921435	40.93966828
409	0.321051103	51611.58154	1.94E-05	10.28737367	10.29359419	30.55520284	64.65599965	76.98709057	97.65356024	0.010240282	45.85798999	49.14564384	125.5479893	30.28884694	41.07013751
410	0.330454449	51562.97224	1.94E-05	10.36430339	10.37071215	30.74308002	64.57045015	77.02584474	100.335137	0.009966598	45.87601049	49.16951722	125.3743119	30.36947422	41.20252149
411	0.340079062	51514.12635	1.94E-05	10.44126962	10.44787128	30.93058896	64.4851802	77.06519497	103.0755285	0.009701624	45.89391796	49.19323709	125.201552	30.45109582	41.33683228
412	0.349928744	51465.0438	1.94E-05	10.51827286	10.52507221	31.11773273	64.40019158	77.1051471	105.8756878	0.009445039	45.91171127	49.2168019	125.029698	30.5337109	41.4730816
413	0.36000733	51415.7245	1.94E-05	10.59531366	10.60231555	31.30451441	64.31548601	77.14570706	108.7365784	0.009196537	45.92938926	49.2402101	124.8587385	30.61731819	41.61128082
414	0.370318692	51366.16835	1.95E-05	10.67239254	10.67960193	31.49093705	64.23106513	77.18688083	111.6591739	0.008955825	45.94695078	49.26346012	124.6886621	30.70191599	41.75144097
415	0.380866742	51316.37519	1.95E-05	10.74951005	10.75693198	31.67700371	64.14693048	77.22867448	114.6444584	0.00872262	45.9643947	49.28655041	124.5194578	30.78750216	41.89357273
416	0.391655424	51266.34487	1.95E-05	10.82666672	10.83430634	31.86271743	64.06308355	77.27109414	117.6934267	0.008496651	45.98171985	49.3094794	124.3511142	30.87407412	42.03768647
417	0.402688723	51216.07721	1.95E-05	10.90386312	10.91172566	32.04808124	63.97952575	77.31414602	120.8070839	0.00827766	45.99892509	49.33224554	124.1836205	30.96162887	42.18379223
418	0.413970655	51165.57199	1.95E-05	10.98109978	10.98919058	32.23309815	63.89625842	77.35783641	123.9864461	0.008065398	46.01600927	49.35484725	124.0169658	31.05016299	42.33189974
419	0.425505278	51114.82898	1.96E-05	11.05837727	11.06670176	32.41777118	63.81328283	77.4021717	127.2325401	0.007859625	46.03297122	49.37728297	123.8511392	31.13967264	42.48201845
420	0.437296683	51063.84793	1.96E-05	11.13569614	11.14425986	32.60210331	63.73060019	77.44715834	130.5464037	0.007660111	46.0498098	49.39955112	123.6861301	31.23015358	42.63415751
421	0.449348998	51012.62857	1.96E-05	11.21305697	11.22186555	32.78609753	63.64821163	77.49280289	133.9290857	0.007466638	46.06652384	49.42165014	123.5219279	31.32160117	42.78832581
422	0.461666388	50961.17057	1.96E-05	11.29046031	11.29951949	32.96975682	63.56611825	77.53911199	137.3816461	0.007278993	46.08311218	49.44357845	123.3585221	31.41401039	42.94453198
423	0.474253052	50909.47363	1.96E-05	11.36790675	11.37722237	33.15308414	63.48432107	77.58609238	140.9051563	0.007096972	46.09957366	49.46533447	123.1959023	31.50737583	43.10278442
424	0.487113227	50857.53738	1.97E-05	11.44539687	11.45497487	33.33608245	63.40282106	77.6337509	144.500699	0.006920382	46.11590713	49.48691661	123.0340583	31.60169172	43.2630913
425	0.500251187	50805.36145	1.97E-05	11.52293125	11.53277767	33.5187547	63.32161913	77.68209448	148.1693685	0.006749033	46.1321114	49.5083233	122.8729797	31.69695192	43.42546059
426	0.513671238	50752.94546	1.97E-05	11.60051047	11.61063148	33.70110383	63.24071613	77.73113018	151.9122707	0.006582747	46.14818531	49.52955296	122.7126566	31.79314997	43.5899001
427	0.527377725	50700.28896	1.97E-05	11.67813513	11.68853699	33.88313276	63.16011288	77.78086514	155.7305234	0.006421349	46.16412769	49.55060398	122.5530788	31.89027906	43.75641745
428	0.541375028	50647.39153	1.97E-05	11.75580582	11.76649492	34.06484441	63.07981015	77.83130664	159.6252563	0.006264673	46.17993736	49.57147477	122.3942366	31.98833206	43.92502012
429	0.555667563	50594.25269	1.98E-05	11.83352316	11.84450598	34.24624169	62.99980864	77.88246204	163.5976112	0.006112559	46.19561316	49.59216375	122.2361199	32.08730156	44.0957155
430	0.57025978	50540.87194	1.98E-05	11.91128774	11.92257089	34.42732752	62.92010902	77.93433887	167.6487422	0.005964852	46.21115389	49.6126693	122.0787192	32.18717983	44.26851086
431	0.585156167	50487.24877	1.98E-05	11.98910019	12.00069037	34.60810478	62.84071192	77.98694472	171.7798157	0.005821406	46.22655838	49.63298983	121.9220247	32.28795888	44.4434134
432	0.600361245	50433.38265	1.98E-05	12.06696111	12.07886516	34.78857637	62.76161793	78.04028737	175.9920106	0.005682076	46.24182544	49.65312373	121.7660268	32.38963048	44.62043028
433	0.615879571	50379.273	1.98E-05	12.14487114	12.157096	34.96874515	62.68282758	78.09437468	180.2865188	0.005546726	46.25695388	49.67306938	121.610716	32.49218612	44.79956866
434	0.631715739	50324.91923	1.99E-05	12.22283089	12.23538364	35.14861402	62.6043414	78.14921466	184.6645446	0.005415225	46.2719425	49.69282517	121.456083	32.59561709	44.98083566
435	0.647874376	50270.32073	1.99E-05	12.30084101	12.31372882	35.32818582	62.52615984	78.20481548	189.1273058	0.005287444	46.28679012	49.71238947	121.3021183	32.69991446	45.16423849
436	0.664360145	50215.47687	1.99E-05	12.37890213	12.39213232	35.50746343	62.44828336	78.26118542	193.676033	0.005163261	46.30149551	49.73176065	121.1488128	32.80506911	45.34978437
437	0.681177743	50160.38697	1.99E-05	12.4570149	12.47059489	35.6864497	62.37071235	78.31833291	198.3119705	0.00504256	46.31605749	49.75093709	120.9961573	32.91107174	45.53748064
438	0.698331904	50105.05036	2.00E-05	12.53517996	12.54911732	35.86514746	62.29344718	78.37626656	203.0363761	0.004925226	46.33047483	49.76991714	120.8441425	33.01791289	45.72733475
439	0.715827394	50049.46632	2.00E-05	12.61339797	12.62770037	36.04355957	62.21648822	78.4349951	207.8505212	0.00481115	46.34474632	49.78869916	120.6927596	33.12558297	45.9193543
440	0.733669016	49993.6341	2.00E-05	12.6916696	12.70634485	36.22168887	62.13983577	78.49452744	212.7556914	0.004700227	46.35887074	49.8072815	120.5419994	33.23407226	46.11354707
441	0.751861606	49937.55296	2.00E-05	12.76999551	12.78505155	36.39953817	62.06349013	78.55487264	217.7531862	0.004592355	46.37284686	49.8256625	120.3918532	33.34337092	46.30992102
442	0.770410036	49881.2221	2.00E-05	12.84837637	12.86382127	36.5771103	61.98745157	78.61603992	222.8443196	0.004487438	46.38667345	49.84384049	120.2423122	33.45346904	46.5084844
443	0.789319211	49824.64071	2.01E-05	12.92681287	12.94265481	36.75440809	61.91172033	78.6780387	228.0304202	0.00438538	46.40034927	49.8618138	120.0933674	33.56435663	46.70924568
444	0.808594072	49767.80795	2.01E-05	13.00530568	13.02155301	36.93143435	61.83629664	78.74087856	233.3128313	0.004286091	46.41387307	49.87958075	119.9450103	33.67602365	46.91221366
445	0.828239592	49710.72296	2.01E-05	13.08385551	13.10051669	37.1081919	61.7611807	78.80456926	238.6929113	0.004189483	46.4272436	49.89713966	119.7972323	33.78846003	47.11739747
446	0.84826078	49653.38483	2.01E-05	13.16246304	13.17954668	37.28468353	61.68637271	78.86912075	244.1720338	0.004095473	46.4404596	49.91448882	119.6500246	33.90165567	47.3248066
447	0.868662678	49595.79267	2.02E-05	13.24112898	13.25864382	37.46091207	61.61187283	78.93454318	249.7515878	0.004003979	46.4535198	49.93162652	119.503379	34.01560048	47.53445093
448	0.889450362	49537.94552	2.02E-05	13.31985404	13.33780897	37.63688029	61.53768122	79.00084687	255.4329782	0.003914921	46.46642292	49.94855107	119.3572868	34.13028437	47.74634077
449	0.910628943	49479.84242	2.02E-05	13.39863894	13.41704298	37.81259102	61.46379803	79.06804238	261.2176257	0.003828226	46.47916769	49.96526071	119.2117396	34.24569731	47.96048692
450	0.932203564	49421.48237	2.02E-05	13.47748441	13.49634673	37.98804703	61.39022338	79.13614045	267.1069673	0.003743818	46.49175281	49.98175374	119.0667293	34.3618293	48.17690063
451	0.954179403	49362.86433	2.03E-05	13.55639117	13.57572107	38.16325112	61.31695739	79.20515205	273.1024566	0.003661629	46.50417698	49.99802839	118.9222474	34.47867041	48.39559371
452	0.976561671	49303.98728	2.03E-05	13.63535997	13.65516692	38.33820609	61.24400018	79.27508836	279.2055637	0.003581591	46.51643889	50.01408291	118.7782857	34.5962108	48.61657852
453	0.999355612	49244.85012	2.03E-05	13.71439154	13.73468514	38.51291472	61.17135185	79.34596078	285.417776	0.003503636	46.52853722	50.02991554	118.6348361	34.71444071	48.83986802
454	1.022566505	49185.45174	2.03E-05	13.79348664	13.81427666	38.6873798	61.09901249	79.41778096	291.7405982	0.003427703	46.54047064	50.04552449	118.4918904	34.83335053	49.06547578
455	1.046199662	49125.79102	2.04E-05	13.87264603	13.89394237	38.86160412	61.0269822	79.49056077	298.1755525	0.003353729	46.55223781	50.06090797	118.3494406	34.95293074	49.29341604
456	1.070260425	49065.86679	2.04E-05	13.95187048	13.97368321	39.03559046	60.95526106	79.56431234	304.7241791	0.003281656	46.56383739	50.07606418	118.2074785	35.07317198	49.52370374
457	1.094754174	49005.67786	2.04E-05	14.03116077	14.0535001	39.20934161	60.88384917	79.63904804	311.3880365	0.003211427	46.575268	50.09099129	118.0659963	35.19406507	49.75635454
458	1.119686319	48945.22301	2.04E-05	14.11051767	14.13339398	39.38286035	60.81274659	79.7147805	318.1687018	0.003142987	46.58652827	50.10568749	117.9249859	35.31560096	49.99138485
459	1.145062303	48884.50098	2.05E-05	14.18994197	14.2133658	39.55614947	60.74195343	79.79152261	325.0677709	0.003076282	46.59761683	50.12015092	117.7844395	35.43777081	50.22881189
460	1.170887603	48823.51051	2.05E-05	14.26943448	14.29341653	39.72921176	60.67146976	79.86928754	332.0868589	0.00301126	46.60853227	50.13437972	117.6443491	35.56056598	50.46865369
461	1.197167728	48762.25027	2.05E-05	14.34899601	14.37354713	39.90205	60.60129567	79.94808874	339.2276007	0.002947873	46.61927319	50.14837202	117.504707	35.68397804	50.71092914
462	1.223908221	48700.71893	2.05E-05	14.42862737	14.45375858	40.07466699	60.53143127	80.02793994	346.4916511	0.002886072	46.62983815	50.16212592	117.3655054	35.80799877	50.95565804
463	1.251114656	48638.91512	2.06E-05	14.50832937	14.53405188	40.24706551	60.46187664	80.10885518	353.8806851	0.002825811	46.64022573	50.17563953	117.2267365	35.9326202	51.2028611
464	1.27879264	48576.83743	2.06E-05	14.58810287	14.61442802	40.41924835	60.39263189	80.19084877	361.3963985	0.002767045	46.65043447	50.18891091	117.0883925	36.05783459	51.45255999
465	1.306947814	48514.48444	2.06E-05	14.6679487	14.69488803	40.59121832	60.32369714	80.27393538	369.0405082	0.00270973	46.66046291	50.20193813	116.9504658	36.18363448	51.70477738
466	1.335585848	48451.85467	2.06E-05	14.7478677	14.77543292	40.7629782	60.25507251	80.35812995	376.8147528	0.002653824	46.67030957	50.21471923	116.8129488	36.31001264	51.95953695
467	1.364712449	48388.94664	2.07E-05	14.82786075	14.85606373	40.93453081	60.18675813	80.44344779	384.7208924	0.002599287	46.67997295	50.22725222	116.6758338	36.43696215	52.21686346
468	1.394333352	48325.7588	2.07E-05	14.90792871	14.93678151	41.10587895	60.11875415	80.52990452	392.7607099	0.00254608	46.68945154	50.23953513	116.5391132	36.56447635	52.47678276
469	1.424454326	48262.2896	2.07E-05	14.98807246	15.01758732	41.27702542	60.05106074	80.61751614	400.9360108	0.002494164	46.69874381	50.25156593	116.4027794	36.69254887	52.7393218
470	1.455081174	48198.53743	2.07E-05	15.0682929	15.09848222	41.44797304	59.98367806	80.70629897	409.2486238	0.002443502	46.70784823	50.26334259	116.2668249	36.82117367	53.00450871
471	1.486219727	48134.50067	2.08E-05	15.14859091	15.17946731	41.61872464	59.9166063	80.79626972	417.7004015	0.00239406	46.71676323	50.27486305	116.1312421	36.95034498	53.27237284
472	1.517875852	48070.17766	2.08E-05	15.22896742	15.26054367	41.78928303	59.84984568	80.88744548	426.2932206	0.002345803	46.72548722	50.28612525	115.9960237	37.08005736	53.54294471
473	1.550055446	48005.56668	2.08E-05	15.30942335	15.34171242	41.95965104	59.78339641	80.97984372	435.0289824	0.002298697	46.73401862	50.29712708	115.8611619	37.21030569	53.81625616
474	1.582764438	47940.66601	2.09E-05	15.38995961	15.42297468	42.12983152	59.71725875	81.07348232	443.9096138	0.002252711	46.74235581	50.30786642	115.7266495	37.34108517	54.09234029
475	1.616008789	47875.47387	2.09E-05	15.47057717	15.50433159	42.2998273	59.65143296	81.16837956	452.9370669	0.002207812	46.75049716	50.31834114	115.592479	37.47239134	54.37123155
476	1.649794493	47809.98844	2.09E-05	15.55127697	15.58578429	42.46964124	59.58591932	81.26455416	462.1133204	0.002163971	46.758441	50.32854907	115.4586429	37.60422006	54.65296575
477	1.684127574	47744.20789	2.09E-05	15.63205998	15.66733394	42.6392762	59.52071817	81.36202527	471.44038	0.002121159	46.76618568	50.33848802	115.3251338	37.73656753	54.9375801
478	1.719014088	47678.13033	2.10E-05	15.71292717	15.74898173	42.80873505	59.45582982	81.46081249	480.9202784	0.002079347	46.77372948	50.34815577	115.1919443	37.86943031	55.22511326
479	1.754460125	47611.75384	2.10E-05	15.79387953	15.83072884	42.97802065	59.39125465	81.56093587	490.5550766	0.002038507	46.7810707	50.3575501	115.0590671	38.00280527	55.51560537
480	1.790471805	47545.07644	2.10E-05	15.87491807	15.91257648	43.1471359	59.32699304	81.66241595	500.3468641	0.001998614	46.7882076	50.36666873	114.9264948	38.13668965	55.80909806
481	1.827055279	47478.09615	2.11E-05	15.9560438	15.99452587	43.31608369	59.26304543	81.76527378	510.2977598	0.00195964	46.79513842	50.37550938	114.7942199	38.27108104	56.10563453
482	1.86421673	47410.81091	2.11E-05	16.03725775	16.07657825	43.48486693	59.19941226	81.86953088	520.4099122	0.001921562	46.80186137	50.38406972	114.6622351	38.40597738	56.40525956
483	1.901962374	47343.21864	2.11E-05	16.11856095	16.15873487	43.65348853	59.13609402	81.97520931	530.6855005	0.001884355	46.80837466	50.39234741	114.5305331	38.54137694	56.70801956
484	1.940298459	47275.31722	2.12E-05	16.19995447	16.24099699	43.82195142	59.07309122	82.08233166	541.1267354	0.001847996	46.81467644	50.40034008	114.3991066	38.67727836	57.01396262
