Temperature (K)	Pressure (MPa)	"Density (l, mol/m3)"	"Volume (l, m3/mol)"	"Internal Energy (l, kJ/mol)"	"Enthalpy (l, kJ/mol)"	"Entropy (l, J/mol*K)"	"Cv (l, J/mol*K)"	"Cp (l, J/mol*K)"	"Density (v, mol/m3)"	"Volume (v, m3/mol)"	"Internal Energy (v, kJ/mol)"	"Enthalpy (v, kJ/mol)"	"Entropy (v, J/mol*K)"	"Cv (v, J/mol*K)"	"Cp (v, J/mol*K)"
611	14.21095179	34278.59014	2.92E-05	28.03588031	28.45045255	65.50667716	55.31422667	143.0509654	4941.975349	0.000202348	44.54662788	47.42218892	96.55698219	63.1419513	208.8084426
612	14.39116327	34102.91714	2.93E-05	28.15582973	28.57782188	65.70634753	55.37571222	145.2172648	5036.711945	0.000198542	44.47840956	47.33566314	96.35641496	63.45816771	214.0436508
613	14.57321075	33924.28441	2.95E-05	28.27687809	28.70645858	65.90762813	55.44246384	147.5125346	5134.062448	0.000194778	44.4082561	47.24679009	96.15286714	63.7794467	219.5737107
614	14.75711292	33742.54498	2.96E-05	28.39907976	28.83642416	66.11061088	55.5148972	149.9494646	5234.15532	0.000191053	44.33608374	47.1554714	95.94619272	64.10606225	225.4248743
615	14.94288895	33557.53828	2.98E-05	28.52249407	28.96778564	66.31539609	55.59347963	152.5424809	5337.129233	0.000187367	44.2618023	47.06160127	95.73623452	64.43831605	231.6266593
616	15.13055842	33369.08838	3.00E-05	28.64718587	29.10061625	66.52209347	55.67873863	155.3080357	5443.134229	0.000183718	44.18531453	46.96506564	95.522823	64.77654141	238.2123799
617	15.3201414	33177.00198	3.01E-05	28.77322627	29.23499619	66.73082337	55.77127187	158.2649536	5552.333046	0.000180104	44.10651527	46.86574121	95.30577479	65.12110785	245.2197855
618	15.51165844	32981.06611	3.03E-05	28.90069348	29.37101359	66.94171817	55.8717592	161.4348441	5664.902654	0.000176526	44.02529051	46.76349439	95.08489099	65.47242648	252.6918331
619	15.70513057	32781.04558	3.05E-05	29.02967368	29.50876549	67.15492387	55.980977	164.8425975	5781.03604	0.000172979	43.94151627	46.65817994	94.85995528	65.83095649	260.677628
620	15.90057938	32576.67989	3.07E-05	29.16026211	29.64835909	67.37060185	56.09981541	168.5169799	5900.94429	0.000169464	43.85505734	46.54963953	94.63073158	66.19721279	269.2335777
621	16.09802702	32367.67993	3.09E-05	29.29256426	29.78991307	67.58893102	56.22929897	172.4913523	6024.859034	0.000165979	43.76576574	46.43769996	94.39696144	66.57177528	278.424816
622	16.29749618	32153.72404	3.11E-05	29.42669728	29.93355913	67.81011011	56.37061146	176.8045409	6153.035332	0.000162521	43.67347895	46.32217107	94.15836081	66.95530008	288.3269768
