Temperature (K)	Pressure (MPa)	"Density (l, mol/m3)"	"Volume (l, m3/mol)"	"Internal Energy (l, kJ/mol)"	"Enthalpy (l, kJ/mol)"	"Entropy (l, J/mol*K)"	"Cv (l, J/mol*K)"	"Cp (l, J/mol*K)"	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
274	0.1								55502.55988	1.80E-05	0.063863476	0.065665195	0.233436111	75.93632112	75.96324479	1406.625004	-0.240595704	1739.753901	0.562686704	liquid
275	0.1								55504.98949	1.80E-05	0.139798304	0.141599944	0.510065803	75.89478027	75.90696161	1411.511112	-0.239641571	1681.825945	0.564585446	liquid
276	0.1								55506.4705	1.80E-05	0.215678887	0.217480479	0.785494602	75.85141482	75.85476337	1416.283167	-0.238706567	1626.917003	0.566485838	liquid
277	0.1								55507.03358	1.80E-05	0.291509157	0.293310731	1.059745412	75.80630353	75.80634595	1420.943411	-0.237789779	1574.81765	0.568387099	liquid
278	0.1								55506.70763	1.80E-05	0.367292755	0.369094339	1.33283984	75.75951962	75.76143375	1425.494012	-0.236890348	1525.336289	0.570288398	liquid
279	0.1								55505.51989	1.80E-05	0.44303306	0.444834683	1.604798323	75.71113113	75.71977628	1429.937073	-0.236007462	1478.297377	0.572188859	liquid
280	0.1								55503.49609	1.80E-05	0.518733212	0.5205349	1.875640219	75.66120129	75.68114527	1434.274631	-0.235140353	1433.539846	0.57408758	liquid
281	0.1								55500.66054	1.80E-05	0.594396132	0.596197912	2.145383901	75.6097888	75.64533216	1438.508655	-0.234288299	1390.915706	0.575983637	liquid
282	0.1								55497.03625	1.80E-05	0.670024542	0.67182644	2.414046839	75.55694822	75.6121459	1442.641055	-0.233450617	1350.288802	0.577876093	liquid
283	0.1								55492.64501	1.80E-05	0.745620981	0.747423021	2.681645668	75.50273028	75.58141111	1446.673681	-0.232626663	1311.5337	0.57976401	liquid
284	0.1								55487.50749	1.80E-05	0.821187818	0.822990025	2.948196253	75.44718214	75.5529664	1450.608326	-0.231815827	1274.534699	0.581646448	liquid
285	0.1								55481.64334	1.80E-05	0.89672727	0.898529668	3.213713749	75.39034776	75.52666301	1454.44673	-0.231017535	1239.184942	0.583522474	liquid
286	0.1								55475.07118	1.80E-05	0.972241408	0.974044019	3.47821265	75.33226813	75.50236351	1458.190581	-0.230231242	1205.385624	0.58539117	liquid
287	0.1								55467.80878	1.80E-05	1.047732173	1.04953502	3.741706834	75.27298153	75.47994074	1461.841519	-0.229456433	1173.045275	0.58725163	liquid
288	0.1								55459.87302	1.80E-05	1.123201382	1.125004487	4.004209614	75.21252382	75.45927688	1465.401139	-0.22869262	1142.079122	0.589102969	liquid
289	0.1								55451.28001	1.80E-05	1.198650739	1.200454124	4.265733765	75.15092861	75.44026258	1468.87099	-0.227939339	1112.408512	0.590944323	liquid
290	0.1								55442.04509	1.80E-05	1.274081843	1.275885528	4.52629157	75.08822753	75.42279624	1472.252582	-0.227196151	1083.960386	0.592774855	liquid
291	0.1								55432.18293	1.80E-05	1.349496194	1.351300201	4.785894845	75.02445041	75.40678335	1475.547385	-0.226462639	1056.666818	0.594593751	liquid
292	0.1								55421.70751	1.80E-05	1.424895203	1.42669955	5.044554974	74.95962544	75.39213593	1478.75683	-0.225738405	1030.464582	0.596400228	liquid
293	0.1								55410.63224	1.80E-05	1.500280192	1.5020849	5.302282931	74.89377937	75.37877198	1481.882316	-0.225023071	1005.294772	0.598193532	liquid
294	0.1								55398.96991	1.81E-05	1.575652408	1.577457496	5.55908931	74.82693767	75.36661505	1484.925205	-0.224316276	981.1024517	0.59997294	liquid
295	0.1								55386.73278	1.81E-05	1.651013022	1.652818509	5.814984346	74.75912462	75.3555938	1487.886827	-0.223617675	957.8363375	0.60173776	liquid
296	0.1								55373.9326	1.81E-05	1.726363136	1.72816904	6.069977937	74.69036352	75.34564168	1490.768482	-0.222926939	935.4485124	0.603487334	liquid
297	0.1								55360.58062	1.81E-05	1.801703788	1.803510128	6.324079662	74.62067673	75.33669651	1493.57144	-0.222243753	913.8941629	0.605221034	liquid
298	0.1								55346.68765	1.81E-05	1.877035957	1.878842749	6.577298805	74.55008584	75.32870027	1496.296944	-0.221567815	893.1313413	0.606938267	liquid
299	0.1								55332.26404	1.81E-05	1.952360563	1.954167826	6.829644364	74.4786117	75.32159875	1498.946206	-0.220898835	873.1207476	0.608638473	liquid
300	0.1								55317.31976	1.81E-05	2.027678476	2.029486228	7.081125077	74.40627457	75.31534135	1501.520416	-0.220236535	853.8255314	0.610321123	liquid
301	0.1								55301.86436	1.81E-05	2.102990517	2.104798775	7.331749428	74.33309417	75.30988081	1504.020735	-0.219580649	835.2111103	0.611985723	liquid
302	0.1								55285.90704	1.81E-05	2.178297462	2.180106241	7.581525668	74.25908974	75.30517304	1506.448303	-0.218930918	817.2450037	0.613631811	liquid
303	0.1								55269.45665	1.81E-05	2.25360004	2.255409358	7.830461823	74.18428011	75.30117688	1508.804233	-0.218287094	799.8966806	0.615258955	liquid
304	0.1								55252.52169	1.81E-05	2.328898947	2.330708819	8.078565711	74.10868376	75.29785397	1511.089616	-0.217648938	783.1374205	0.616866756	liquid
305	0.1								55235.11038	1.81E-05	2.404194836	2.406005278	8.325844949	74.03231885	75.29516854	1513.305523	-0.21701622	766.9401848	0.618454847	liquid
306	0.1								55217.23059	1.81E-05	2.479488328	2.481299357	8.572306967	73.95520328	75.29308728	1515.453001	-0.216388715	751.2794996	0.620022888	liquid
307	0.1								55198.88994	1.81E-05	2.554780013	2.556591644	8.817959019	73.87735472	75.29157921	1517.533075	-0.215766208	736.1313476	0.621570573	liquid
308	0.1								55180.09578	1.81E-05	2.630070449	2.631882697	9.062808189	73.79879064	75.2906155	1519.546753	-0.215148489	721.4730678	0.62309762	liquid
309	0.1								55160.85516	1.81E-05	2.705360168	2.707173048	9.306861403	73.71952834	75.2901694	1521.49502	-0.214535355	707.2832649	0.624603779	liquid
310	0.1								55141.17493	1.81E-05	2.780649673	2.7824632	9.550125436	73.63958496	75.29021609	1523.378842	-0.21392661	693.5417237	0.626088825	liquid
311	0.1								55121.06168	1.81E-05	2.855939448	2.857753636	9.792606921	73.55897751	75.29073258	1525.199166	-0.213322061	680.2293315	0.627552561	liquid
312	0.1								55100.52177	1.81E-05	2.93122995	2.933044815	10.03431236	73.47772289	75.2916976	1526.956922	-0.212721523	667.328006	0.628994814	liquid
313	0.1								55079.56136	1.82E-05	3.006521619	3.008337174	10.27524811	73.39583788	75.29309152	1528.653019	-0.212124815	654.8206284	0.630415436	liquid
314	0.1								55058.18638	1.82E-05	3.081814874	3.083631135	10.51542044	73.31333918	75.29489623	1530.288349	-0.211531761	642.6909819	0.631814304	liquid
315	0.1								55036.40259	1.82E-05	3.157110119	3.158927098	10.75483546	73.2302434	75.29709509	1531.863789	-0.210942189	630.9236944	0.633191317	liquid
316	0.1								55014.21554	1.82E-05	3.232407739	3.234225451	10.99349922	73.14656705	75.29967282	1533.380194	-0.210355932	619.5041857	0.634546395	liquid
317	0.1								54991.63061	1.82E-05	3.307708107	3.309526566	11.23141763	73.0623266	75.30261543	1534.838406	-0.209772827	608.4186183	0.635879481	liquid
318	0.1								54968.65299	1.82E-05	3.383011581	3.384830799	11.46859651	72.97753841	75.30591018	1536.23925	-0.209192713	597.6538519	0.637190537	liquid
319	0.1								54945.28774	1.82E-05	3.458318507	3.460138499	11.7050416	72.89221876	75.30954543	1537.583532	-0.208615437	587.1974008	0.638479544	liquid
320	0.1								54921.53971	1.82E-05	3.533629221	3.53545	11.94075854	72.80638389	75.31351068	1538.872045	-0.208040844	577.037395	0.639746503	liquid
321	0.1								54897.41363	1.82E-05	3.608944048	3.610765628	12.17575288	72.72004991	75.31779642	1540.105565	-0.207468787	567.162543	0.640991431	liquid
322	0.1								54872.91408	1.82E-05	3.684263304	3.686085697	12.41003011	72.63323289	75.32239412	1541.284854	-0.20689912	557.5620983	0.642214362	liquid
323	0.1								54848.04549	1.82E-05	3.759587298	3.761410517	12.64359563	72.54594879	75.32729615	1542.410656	-0.2063317	548.225827	0.643415345	liquid
324	0.1								54822.81215	1.82E-05	3.83491633	3.836740389	12.87645476	72.45821349	75.33249575	1543.483702	-0.205766388	539.1439789	0.644594446	liquid
325	0.1								54797.21822	1.82E-05	3.910250696	3.912075606	13.10861278	72.37004278	75.33798697	1544.504709	-0.205203047	530.3072592	0.645751744	liquid
