Temperature (K)	Pressure (MPa)	"Density (l, mol/m3)"	"Volume (l, m3/mol)"	"Internal Energy (l, kJ/mol)"	"Enthalpy (l, kJ/mol)"	"Entropy (l, J/mol*K)"	"Cv (l, J/mol*K)"	"Cp (l, J/mol*K)"	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Phase
473	1								269.5402771	0.003710021	47.23535887	50.94537954	120.6081244	31.57527792	43.76406159	vapor
474	1								268.8095135	0.003720106	47.26896485	50.98907129	120.7003985	31.49249475	43.62030619	vapor
475	1								268.0845543	0.003730166	47.30245543	51.03262184	120.7921806	31.41298134	43.48162122	vapor
476	1								267.3652874	0.003740201	47.33583479	51.07603611	120.883483	31.33650952	43.34767534	vapor
477	1								266.6516054	0.003750212	47.36910686	51.11931867	120.9743174	31.26287508	43.21817086	vapor
478	1								265.9434054	0.003760199	47.40227532	51.16247384	121.0646948	31.19189483	43.09283971	vapor
479	1								265.2405882	0.003770162	47.43534361	51.20550566	121.1546256	31.12340413	42.97143987	vapor
480	1								264.5430587	0.003780103	47.46831499	51.24841796	121.2441195	31.05725464	42.85375235	vapor
481	1								263.850725	0.003790022	47.50119254	51.29121434	121.3331859	30.99331238	42.73957843	vapor
482	1								263.1634986	0.003799919	47.53397914	51.33389823	121.4218337	30.93145611	42.62873734	vapor
483	1								262.4812937	0.003809795	47.56667757	51.37647287	121.5100714	30.87157576	42.52106424	vapor
484	1								261.8040278	0.003819651	47.59929042	51.41894136	121.597907	30.81357122	42.41640836	vapor
485	1								261.1316206	0.003829486	47.63182021	51.46130664	121.6853483	30.75735115	42.31463147	vapor
486	1								260.4639947	0.003839302	47.66426929	51.50357154	121.7724028	30.70283204	42.21560646	vapor
487	1								259.8010747	0.003849099	47.69663995	51.54573874	121.8590774	30.6499373	42.11921618	vapor
488	1								259.1427876	0.003858876	47.72893436	51.58781081	121.9453792	30.5985965	42.02535234	vapor
489	1								258.4890625	0.003868636	47.76115461	51.62979025	122.0313147	30.54874471	41.93391456	vapor
490	1								257.8398305	0.003878377	47.79330269	51.67167942	122.1168901	30.50032194	41.8448096	vapor
491	1								257.1950247	0.0038881	47.82538052	51.71348062	122.2021118	30.45327255	41.75795058	vapor
492	1								256.5545798	0.003897806	47.85738997	51.75519604	122.2869856	30.40754485	41.67325639	vapor
493	1								255.9184324	0.003907495	47.88933281	51.79682783	122.3715172	30.36309069	41.59065108	vapor
494	1								255.2865206	0.003917167	47.92121076	51.83837802	122.4557121	30.31986508	41.51006339	vapor
495	1								254.6587843	0.003926823	47.95302549	51.8798486	122.5395759	30.27782592	41.43142631	vapor
496	1								254.0351648	0.003936463	47.98477861	51.9212415	122.6231135	30.23693366	41.35467668	vapor
497	1								253.4156048	0.003946087	48.01647166	51.96255857	122.7063303	30.19715111	41.27975483	vapor
498	1								252.8000484	0.003955695	48.04810615	52.0038016	122.7892309	30.1584432	41.2066043	vapor
499	1								252.1884412	0.003965289	48.07968355	52.04497235	122.8718202	30.12077681	41.13517156	vapor
500	1								251.5807298	0.003974867	48.11120526	52.0860725	122.9541028	30.08412054	41.06540575	vapor
501	1								250.9768625	0.003984431	48.14267266	52.1271037	123.0360833	30.04844463	40.99725847	vapor
502	1								250.3767883	0.00399398	48.17408708	52.16806754	123.117766	30.01372079	40.9306836	vapor
503	1								249.7804576	0.004003516	48.20544981	52.20896557	123.1991552	29.97992207	40.8656371	vapor
504	1								249.1878219	0.004013037	48.23676211	52.24979931	123.280255	29.94702276	40.80207688	vapor
505	1								248.5988338	0.004022545	48.26802519	52.29057021	123.3610695	29.91499832	40.73996265	vapor
506	1								248.0134469	0.004032039	48.29924026	52.3312797	123.4416027	29.88382526	40.67925577	vapor
507	1								247.4316158	0.004041521	48.33040847	52.37192918	123.5218583	29.85348107	40.61991919	vapor
508	1								246.853296	0.004050989	48.36153093	52.41251999	123.6018403	29.82394416	40.5619173	vapor
509	1								246.2784442	0.004060445	48.39260876	52.45305345	123.6815521	29.79519379	40.50521585	vapor
510	1								245.7070177	0.004069888	48.42364302	52.49353084	123.7609975	29.76721002	40.44978186	vapor
511	1								245.1389749	0.004079319	48.45463474	52.53395342	123.8401799	29.73997365	40.39558358	vapor
512	1								244.5742749	0.004088737	48.48558495	52.57432241	123.9191027	29.71346618	40.34259037	vapor
513	1								244.0128778	0.004098144	48.51649463	52.61463899	123.9977692	29.68766976	40.29077267	vapor
514	1								243.4547444	0.00410754	48.54736475	52.65490434	124.0761828	29.66256718	40.24010191	vapor
515	1								242.8998363	0.004116923	48.57819625	52.69511957	124.1543465	29.6381418	40.1905505	vapor
516	1								242.3481159	0.004126296	48.60899006	52.7352858	124.2322636	29.61437751	40.14209175	vapor
517	1								241.7995463	0.004135657	48.63974705	52.77540411	124.309937	29.59125877	40.09469982	vapor
518	1								241.2540913	0.004145007	48.67046812	52.81547555	124.3873698	29.56877049	40.04834971	vapor
519	1								240.7117154	0.004154347	48.70115412	52.85550115	124.4645648	29.54689809	40.00301718	vapor
520	1								240.1723839	0.004163676	48.73180588	52.89548192	124.541525	29.5256274	39.95867877	vapor
521	1								239.6360626	0.004172995	48.76242421	52.93541883	124.618253	29.50494472	39.91531169	vapor
522	1								239.102718	0.004182303	48.79300992	52.97531285	124.6947516	29.48483672	39.87289386	vapor
523	1								238.5723172	0.004191601	48.82356377	53.01516493	124.7710236	29.46529049	39.83140384	vapor
524	1								238.0448281	0.004200889	48.85408654	53.05497596	124.8470714	29.44629349	39.79082083	vapor
525	1								237.5202189	0.004210168	48.88457897	53.09474686	124.9228978	29.42783351	39.75112462	vapor
526	1								236.9984585	0.004219437	48.91504178	53.1344785	124.9985051	29.40989873	39.71229557	vapor
527	1								236.4795164	0.004228696	48.94547568	53.17417174	125.0738959	29.39247762	39.67431461	vapor
528	1								235.9633627	0.004237946	48.97588136	53.21382741	125.1490726	29.37555898	39.63716318	vapor
529	1								235.4499679	0.004247187	49.00625952	53.25344634	125.2240375	29.35913194	39.60082327	vapor
530	1								234.9393031	0.004256419	49.0366108	53.29302932	125.2987929	29.3431859	39.56527733	vapor
531	1								234.4313398	0.004265641	49.06693587	53.33257715	125.3733411	29.32771054	39.5305083	vapor
532	1								233.9260502	0.004274855	49.09723536	53.37209059	125.4476844	29.31269582	39.49649958	vapor
533	1								233.4234067	0.004284061	49.12750988	53.4115704	125.5218249	29.29813198	39.46323502	vapor
534	1								232.9233825	0.004293257	49.15776006	53.4510173	125.5957648	29.28400949	39.43069889	vapor
535	1								232.425951	0.004302446	49.18798647	53.49043203	125.6695062	29.27031909	39.39887588	vapor
536	1								231.9310861	0.004311626	49.21818972	53.52981529	125.743051	29.25705174	39.36775106	vapor
537	1								231.4387622	0.004320797	49.24837037	53.56916776	125.8164014	29.24419865	39.33730993	vapor
538	1								230.9489541	0.004329961	49.27852898	53.60849013	125.8895593	29.23175123	39.30753832	vapor
539	1								230.4616371	0.004339117	49.30866609	53.64778306	125.9625267	29.21970112	39.27842246	vapor
540	1								229.9767867	0.004348265	49.33878224	53.68704719	126.0353055	29.20804017	39.2499489	vapor
541	1								229.494379	0.004357405	49.36887797	53.72628316	126.1078975	29.19676043	39.22210455	vapor
542	1								229.0143903	0.004366538	49.39895377	53.7654916	126.1803047	29.18585416	39.19487664	vapor
543	1								228.5367975	0.004375663	49.42901016	53.80467312	126.2525287	29.17531379	39.16825273	vapor
544	1								228.0615777	0.004384781	49.45904763	53.84382831	126.3245714	29.16513194	39.14222069	vapor
545	1								227.5887084	0.004393891	49.48906665	53.88295775	126.3964345	29.15530142	39.11676867	vapor
546	1								227.1181675	0.004402994	49.51906772	53.92206203	126.4681197	29.14581522	39.09188513	vapor
547	1								226.6499332	0.00441209	49.54905128	53.96114171	126.5396288	29.13666647	39.06755881	vapor
548	1								226.1839841	0.00442118	49.5790178	54.00019733	126.6109632	29.1278485	39.04377873	vapor
549	1								225.720299	0.004430262	49.60896773	54.03922945	126.6821248	29.11935478	39.02053417	vapor
550	1								225.2588571	0.004439337	49.63890148	54.07823858	126.7531151	29.11117893	38.99781466	vapor
551	1								224.799638	0.004448406	49.66881951	54.11722525	126.8239356	29.10331475	38.97560999	vapor
552	1								224.3426216	0.004457468	49.69872222	54.15618996	126.8945879	29.09575614	38.95391021	vapor
553	1								223.8877878	0.004466523	49.72861003	54.19513323	126.9650734	29.0884972	38.93270558	vapor
554	1								223.4351172	0.004475572	49.75848333	54.23405554	127.0353938	29.08153212	38.9119866	vapor
555	1								222.9845905	0.004484615	49.78834254	54.27295736	127.1055504	29.07485525	38.89174401	vapor
556	1								222.5361887	0.004493651	49.81818803	54.31183918	127.1755447	29.06846107	38.87196875	vapor
557	1								222.089893	0.004502681	49.84802019	54.35070145	127.2453781	29.06234418	38.85265197	vapor
558	1								221.645685	0.004511705	49.87783939	54.38954464	127.315052	29.05649931	38.83378504	vapor
559	1								221.2035466	0.004520723	49.90764599	54.42836917	127.3845677	29.05092131	38.81535952	vapor
560	1								220.7634598	0.004529735	49.93744036	54.4671755	127.4539267	29.04560515	38.79736718	vapor
561	1								220.3254069	0.004538741	49.96722285	54.50596405	127.5231302	29.04054591	38.77979995	vapor
562	1								219.8893705	0.004547741	49.99699381	54.54473524	127.5921796	29.03573878	38.76264997	vapor
563	1								219.4553334	0.004556736	50.02675357	54.58348948	127.661076	29.03117907	38.74590956	vapor
564	1								219.0232788	0.004565725	50.05650246	54.62222719	127.7298209	29.02686219	38.72957119	vapor
565	1								218.5931899	0.004574708	50.08624082	54.66094876	127.7984153	29.02278364	38.71362754	vapor
566	1								218.1650502	0.004583686	50.11596897	54.69965458	127.8668606	29.01893905	38.69807141	vapor
567	1								217.7388435	0.004592658	50.14568722	54.73834503	127.935158	29.01532413	38.6828958	vapor
568	1								217.3145538	0.004601625	50.17539588	54.77702049	128.0033086	29.01193467	38.66809384	vapor
569	1								216.8921653	0.004610586	50.20509525	54.81568134	128.0713137	29.00876658	38.65365882	vapor
570	1								216.4716624	0.004619542	50.23478563	54.85432793	128.1391743	29.00581586	38.6395842	vapor
571	1								216.0530296	0.004628493	50.26446732	54.89296062	128.2068915	29.00307857	38.62586355	vapor
572	1								215.6362519	0.004637439	50.29414061	54.93157977	128.2744666	29.00055089	38.61249062	vapor
573	1								215.2213143	0.00464638	50.32380577	54.97018572	128.3419006	28.99822906	38.59945925	vapor
574	1								214.8082019	0.004655316	50.35346308	55.0087788	128.4091946	28.99610942	38.58676346	vapor
575	1								214.3969001	0.004664247	50.38311281	55.04735936	128.4763496	28.99418838	38.57439737	vapor
576	1								213.9873947	0.004673172	50.41275524	55.08592771	128.5433667	28.99246241	38.56235525	vapor
577	1								213.5796713	0.004682094	50.44239063	55.12448417	128.610247	28.9909281	38.55063147	vapor
578	1								213.1737159	0.00469101	50.47201923	55.16302907	128.6769915	28.98958208	38.53922054	vapor
579	1								212.7695147	0.004699921	50.50164129	55.20156272	128.7436011	28.98842105	38.52811709	vapor
580	1								212.367054	0.004708828	50.53125708	55.24008541	128.8100768	28.9874418	38.51731584	vapor
581	1								211.9663204	0.004717731	50.56086683	55.27859745	128.8764197	28.98664118	38.50681166	vapor
582	1								211.5673003	0.004726628	50.59047078	55.31709913	128.9426307	28.98601611	38.49659949	vapor
583	1								211.1699808	0.004735522	50.62006917	55.35559074	129.0087107	28.98556357	38.4866744	vapor
584	1								210.7743488	0.00474441	50.64966223	55.39407257	129.0746608	28.9852806	38.47703156	vapor
585	1								210.3803914	0.004753295	50.67925019	55.4325449	129.1404817	28.98516432	38.46766624	vapor
586	1								209.988096	0.004762175	50.70883329	55.47100799	129.2061745	28.98521188	38.45857381	vapor
587	1								209.59745	0.00477105	50.73841172	55.50946213	129.2717399	28.98542053	38.44974974	vapor
588	1								209.2084411	0.004779922	50.76798573	55.54790758	129.337179	28.98578755	38.44118959	vapor
589	1								208.821057	0.004788789	50.79755551	55.5863446	129.4024926	28.98631028	38.432889	vapor
590	1								208.4352856	0.004797652	50.82712128	55.62477345	129.4676815	28.98698612	38.42484373	vapor
591	1								208.0511151	0.004806511	50.85668324	55.66319437	129.5327466	28.98781252	38.41704959	vapor
592	1								207.6685335	0.004815366	50.8862416	55.70160763	129.5976887	28.98878698	38.40950251	vapor
593	1								207.2875293	0.004824217	50.91579657	55.74001346	129.6625087	28.98990707	38.40219848	vapor
594	1								206.9080908	0.004833064	50.94534832	55.7784121	129.7272073	28.99117038	38.39513358	vapor
595	1								206.5302069	0.004841907	50.97489707	55.8168038	129.7917855	28.99257458	38.38830398	vapor
596	1								206.153866	0.004850746	51.00444299	55.85518879	129.8562439	28.99411735	38.3817059	vapor
597	1								205.7790573	0.004859581	51.03398628	55.89356729	129.9205834	28.99579647	38.37533566	vapor
598	1								205.4057696	0.004868412	51.06352711	55.93193953	129.9848048	28.99760971	38.36918965	vapor
599	1								205.033992	0.00487724	51.09306568	55.97030574	130.0489087	28.99955492	38.36326432	vapor
600	1								204.663714	0.004886064	51.12260216	56.00866614	130.112896	29.00162998	38.35755621	vapor
601	1								204.2949247	0.004894884	51.15213672	56.04702093	130.1767675	29.00383282	38.35206191	vapor
602	1								203.9276137	0.004903701	51.18166954	56.08537033	130.2405238	29.0061614	38.34677808	vapor
603	1								203.5617706	0.004912514	51.21120079	56.12371455	130.3041657	29.00861374	38.34170147	vapor
604	1								203.1973852	0.004921323	51.24073063	56.1620538	130.3676938	29.01118787	38.33682885	vapor
605	1								202.8344472	0.004930129	51.27025923	56.20038828	130.431109	29.01388188	38.3321571	vapor
606	1								202.4729467	0.004938931	51.29978675	56.23871818	130.4944119	29.0166939	38.32768312	vapor
607	1								202.1128737	0.00494773	51.32931335	56.27704371	130.5576033	29.01962209	38.3234039	vapor
608	1								201.7542183	0.004956526	51.35883919	56.31536505	130.6206837	29.02266465	38.31931648	vapor
609	1								201.3969709	0.004965318	51.38836443	56.3536824	130.6836539	29.0258198	38.31541795	vapor
610	1								201.0411218	0.004974107	51.41788921	56.39199595	130.7465145	29.02908582	38.31170546	vapor
611	1								200.6866616	0.004982892	51.44741368	56.43030588	130.8092662	29.032461	38.30817622	vapor
612	1								200.3335807	0.004991674	51.476938	56.46861236	130.8719097	29.03594368	38.30482748	vapor
613	1								199.98187	0.005000453	51.5064623	56.50691559	130.9344456	29.03953222	38.30165656	vapor
614	1								199.6315201	0.005009229	51.53598673	56.54521573	130.9968746	29.04322502	38.29866081	vapor
615	1								199.2825221	0.005018002	51.56551144	56.58351297	131.0591972	29.0470205	38.29583766	vapor
616	1								198.9348667	0.005026771	51.59503656	56.62180747	131.1214141	29.05091714	38.29318455	vapor
617	1								198.5885453	0.005035537	51.62456223	56.66009939	131.1835259	29.0549134	38.290699	vapor
618	1								198.2435488	0.0050443	51.65408858	56.69838892	131.2455332	29.05900782	38.28837857	vapor
619	1								197.8998685	0.00505306	51.68361575	56.73667621	131.3074367	29.06319893	38.28622084	vapor
620	1								197.5574959	0.005061818	51.71314386	56.77496141	131.3692369	29.06748531	38.28422348	vapor
621	1								197.2164224	0.005070572	51.74267306	56.81324471	131.4309344	29.07186555	38.28238416	vapor
622	1								196.8766394	0.005079323	51.77220345	56.85152623	131.4925298	29.07633828	38.28070062	vapor
623	1								196.5381386	0.005088071	51.80173518	56.88980616	131.5540237	29.08090216	38.27917064	vapor
624	1								196.2009118	0.005096816	51.83126835	56.92808463	131.6154166	29.08555585	38.27779201	vapor
625	1								195.8649505	0.005105559	51.8608031	56.96636179	131.6767091	29.09029807	38.27656261	vapor
626	1								195.5302469	0.005114298	51.89033955	57.0046378	131.7379018	29.09512753	38.27548032	vapor
627	1								195.1967927	0.005123035	51.91987781	57.0429128	131.7989951	29.10004298	38.27454307	vapor
628	1								194.8645801	0.005131769	51.94941799	57.08118693	131.8599898	29.1050432	38.27374884	vapor
629	1								194.533601	0.0051405	51.97896022	57.11946035	131.9208862	29.11012698	38.27309562	vapor
630	1								194.2038478	0.005149229	52.00850461	57.15773317	131.981685	29.11529313	38.27258146	vapor
631	1								193.8753126	0.005157954	52.03805127	57.19600555	132.0423867	29.12054051	38.27220444	vapor
632	1								193.5479879	0.005166677	52.0676003	57.23427763	132.1029917	29.12586796	38.27196266	vapor
633	1								193.2218659	0.005175398	52.09715183	57.27254952	132.1635007	29.13127436	38.27185427	vapor
634	1								192.8969393	0.005184115	52.12670595	57.31082138	132.223914	29.13675862	38.27187745	vapor
635	1								192.5732005	0.005192831	52.15626276	57.34909332	132.2842323	29.14231966	38.27203041	vapor
636	1								192.2506422	0.005201543	52.18582239	57.38736548	132.344456	29.14795642	38.27231138	vapor
637	1								191.9292571	0.005210253	52.21538492	57.42563799	132.4045856	29.15366786	38.27271864	vapor
638	1								191.6090379	0.00521896	52.24495046	57.46391096	132.4646217	29.15945295	38.2732505	vapor
639	1								191.2899775	0.005227665	52.27451911	57.50218453	132.5245647	29.16531069	38.27390527	vapor
640	1								190.9720688	0.005236368	52.30409097	57.54045881	132.584415	29.17124009	38.27468133	vapor
641	1								190.6553048	0.005245068	52.33366613	57.57873393	132.6441732	29.1772402	38.27557706	vapor
642	1								190.3396784	0.005253765	52.36324469	57.61701001	132.7038397	29.18331004	38.27659088	vapor
643	1								190.0251829	0.00526246	52.39282675	57.65528715	132.7634151	29.1894487	38.27772123	vapor
644	1								189.7118114	0.005271153	52.4224124	57.69356549	132.8228997	29.19565525	38.27896658	vapor
645	1								189.399557	0.005279843	52.45200173	57.73184512	132.882294	29.20192879	38.28032544	vapor
646	1								189.0884132	0.005288531	52.48159483	57.77012617	132.9415985	29.20826843	38.28179632	vapor
647	1								188.7783732	0.005297217	52.51119179	57.80840875	133.0008136	29.21467331	38.28337776	vapor
648	1								188.4694305	0.0053059	52.54079271	57.84669297	133.0599398	29.22114256	38.28506835	vapor
649	1								188.1615785	0.005314581	52.57039766	57.88497892	133.1189776	29.22767535	38.28686668	vapor
650	1								187.8548108	0.00532326	52.60000674	57.92326674	133.1779273	29.23427085	38.28877137	vapor
651	1								187.549121	0.005331936	52.62962002	57.9615565	133.2367893	29.24092825	38.29078105	vapor
652	1								187.2445027	0.005340611	52.6592376	57.99984833	133.2955642	29.24764675	38.29289441	vapor
653	1								186.9409496	0.005349283	52.68885956	58.03814233	133.3542523	29.25442556	38.29511011	vapor
654	1								186.6384556	0.005357953	52.71848598	58.07643859	133.4128541	29.26126392	38.29742688	vapor
655	1								186.3370143	0.00536662	52.74811693	58.11473721	133.47137	29.26816106	38.29984345	vapor
656	1								186.0366198	0.005375286	52.77775251	58.15303831	133.5298003	29.27511624	38.30235855	vapor
657	1								185.7372659	0.005383949	52.80739278	58.19134196	133.5881456	29.28212873	38.30497098	vapor
658	1								185.4389465	0.00539261	52.83703783	58.22964828	133.6464062	29.2891978	38.30767952	vapor
659	1								185.1416559	0.00540127	52.86668774	58.26795735	133.7045824	29.29632275	38.31048297	vapor
660	1								184.8453879	0.005409927	52.89634257	58.30626928	133.7626748	29.30350289	38.31338018	vapor
661	1								184.5501368	0.005418582	52.92600241	58.34458414	133.8206837	29.31073752	38.31636999	vapor
662	1								184.2558968	0.005427235	52.95566733	58.38290205	133.8786095	29.31802598	38.31945128	vapor
663	1								183.9626621	0.005435886	52.9853374	58.42122308	133.9364526	29.32536759	38.32262292	vapor
664	1								183.6704269	0.005444535	53.01501269	58.45954732	133.9942133	29.33276172	38.32588382	vapor
665	1								183.3791857	0.005453182	53.04469328	58.49787487	134.0518921	29.34020772	38.32923291	vapor
666	1								183.0889328	0.005461827	53.07437924	58.53620582	134.1094893	29.34770495	38.33266912	vapor
667	1								182.7996627	0.00547047	53.10407063	58.57454024	134.1670054	29.3552528	38.33619141	vapor
668	1								182.5113698	0.005479111	53.13376752	58.61287823	134.2244406	29.36285066	38.33979876	vapor
669	1								182.2240486	0.00548775	53.16346999	58.65121987	134.2817953	29.37049793	38.34349014	vapor
670	1								181.9376938	0.005496387	53.1931781	58.68956524	134.33907	29.37819402	38.34726458	vapor
671	1								181.6523	0.005505023	53.22289191	58.72791442	134.3962649	29.38593834	38.35112107	vapor
672	1								181.3678618	0.005513656	53.2526115	58.76626751	134.4533804	29.39373033	38.35505867	vapor
673	1								181.0843739	0.005522288	53.28233692	58.80462457	134.510417	29.40156943	38.35907642	vapor
674	1								180.8018311	0.005530917	53.31206825	58.84298569	134.5673748	29.40945507	38.36317339	vapor
675	1								180.5202282	0.005539545	53.34180554	58.88135094	134.6242544	29.41738672	38.36734866	vapor
676	1								180.23956	0.005548172	53.37154885	58.91972041	134.681056	29.42536384	38.37160131	vapor
677	1								179.9598215	0.005556796	53.40129826	58.95809417	134.7377799	29.4333859	38.37593047	vapor
678	1								179.6810075	0.005565418	53.43105381	58.99647229	134.7944266	29.44145238	38.38033524	vapor
679	1								179.403113	0.005574039	53.46081558	59.03485486	134.8509964	29.44956278	38.38481476	vapor
680	1								179.126133	0.005582658	53.49058361	59.07324195	134.9074895	29.45771658	38.38936819	vapor
681	1								178.8500626	0.005591276	53.52035797	59.11163362	134.9639064	29.46591329	38.39399468	vapor
682	1								178.5748968	0.005599891	53.55013872	59.15002996	135.0202473	29.47415244	38.39869341	vapor
683	1								178.3006308	0.005608505	53.57992592	59.18843103	135.0765127	29.48243352	38.40346355	vapor
684	1								178.0272598	0.005617117	53.60971962	59.22683691	135.1327027	29.49075608	38.40830432	vapor
685	1								177.7547789	0.005625728	53.63951987	59.26524767	135.1888177	29.49911965	38.41321491	vapor
686	1								177.4831835	0.005634337	53.66932675	59.30366337	135.2448582	29.50752376	38.41819456	vapor
687	1								177.2124687	0.005642944	53.69914029	59.34208408	135.3008242	29.51596798	38.42324248	vapor
688	1								176.9426299	0.005651549	53.72896055	59.38050987	135.3567163	29.52445184	38.42835794	vapor
689	1								176.6736625	0.005660153	53.75878759	59.41894082	135.4125347	29.53297492	38.43354018	vapor
690	1								176.4055618	0.005668756	53.78862147	59.45737698	135.4682797	29.54153679	38.43878846	vapor
691	1								176.1383233	0.005677356	53.81846223	59.49581842	135.5239516	29.55013701	38.44410208	vapor
692	1								175.8719425	0.005685955	53.84830992	59.5342652	135.5795507	29.55877518	38.4494803	vapor
693	1								175.6064148	0.005694553	53.8781646	59.5727174	135.6350773	29.56745087	38.45492244	vapor
694	1								175.3417358	0.005703149	53.90802633	59.61117507	135.6905318	29.57616369	38.4604278	vapor
695	1								175.0779011	0.005711743	53.93789514	59.64963827	135.7459144	29.58491322	38.4659957	vapor
696	1								174.8149063	0.005720336	53.96777109	59.68810708	135.8012254	29.59369909	38.47162546	vapor
697	1								174.5527469	0.005728927	53.99765423	59.72658154	135.8564652	29.6025209	38.47731642	vapor
698	1								174.2914187	0.005737517	54.02754461	59.76506173	135.9116339	29.61137826	38.48306794	vapor
699	1								174.0309174	0.005746105	54.05744227	59.8035477	135.9667319	29.6202708	38.48887936	vapor
700	1								173.7712388	0.005754692	54.08734727	59.84203951	136.0217595	29.62919815	38.49475005	vapor
701	1								173.5123785	0.005763278	54.11725964	59.88053722	136.076717	29.63815995	38.50067939	vapor
702	1								173.2543324	0.005771861	54.14717945	59.91904089	136.1316046	29.64715582	38.50666675	vapor
703	1								172.9970963	0.005780444	54.17710673	59.95755057	136.1864227	29.65618542	38.51271153	vapor
704	1								172.7406662	0.005789025	54.20704153	59.99606633	136.2411715	29.6652484	38.51881314	vapor
705	1								172.4850378	0.005797604	54.2369839	60.03458822	136.2958512	29.6743444	38.52497097	vapor
706	1								172.2302072	0.005806182	54.26693388	60.07311629	136.3504623	29.68347309	38.53118444	vapor
707	1								171.9761702	0.005814759	54.29689151	60.11165061	136.4050048	29.69263413	38.53745298	vapor
708	1								171.7229229	0.005823334	54.32685684	60.15019122	136.4594792	29.7018272	38.54377603	vapor
709	1								171.4704613	0.005831908	54.35682991	60.18873818	136.5138856	29.71105195	38.55015301	vapor
710	1								171.2187815	0.005840481	54.38681077	60.22729154	136.5682244	29.72030808	38.55658339	vapor
711	1								170.9678794	0.005849052	54.41679946	60.26585136	136.6224958	29.72959526	38.56306661	vapor
712	1								170.7177513	0.005857622	54.44679602	60.30441769	136.6767001	29.73891318	38.56960213	vapor
713	1								170.4683933	0.00586619	54.47680049	60.34299058	136.7308375	29.74826153	38.57618944	vapor
714	1								170.2198014	0.005874757	54.50681291	60.38157009	136.7849083	29.75764001	38.582828	vapor
715	1								169.971972	0.005883323	54.53683333	60.42015625	136.8389127	29.76704832	38.58951729	vapor
716	1								169.7249012	0.005891887	54.56686178	60.45874914	136.8928511	29.77648615	38.59625682	vapor
717	1								169.4785853	0.00590045	54.5968983	60.49734878	136.9467236	29.78595323	38.60304607	vapor
718	1								169.2330206	0.005909012	54.62694295	60.53595525	137.0005305	29.79544925	38.60988455	vapor
719	1								168.9882033	0.005917573	54.65699574	60.57456857	137.0542721	29.80497393	38.61677177	vapor
720	1								168.7441298	0.005926132	54.68705673	60.61318881	137.1079486	29.814527	38.62370726	vapor
721	1								168.5007964	0.00593469	54.71712595	60.651816	137.1615603	29.82410817	38.63069052	vapor
722	1								168.2581995	0.005943247	54.74720344	60.6904502	137.2151073	29.83371717	38.6377211	vapor
723	1								168.0163356	0.005951802	54.77728923	60.72909146	137.26859	29.84335374	38.64479853	vapor
724	1								167.775201	0.005960356	54.80738337	60.76773981	137.3220086	29.8530176	38.65192235	vapor
725	1								167.5347923	0.005968909	54.8374859	60.80639532	137.3753634	29.8627085	38.65909211	vapor
726	1								167.2951058	0.005977461	54.86759684	60.84505801	137.4286545	29.87242617	38.66630736	vapor
727	1								167.0561381	0.005986012	54.89771623	60.88372795	137.4818822	29.88217035	38.67356766	vapor
728	1								166.8178858	0.005994561	54.92784412	60.92240516	137.5350468	29.8919408	38.68087257	vapor
729	1								166.5803454	0.006003109	54.95798053	60.96108971	137.5881484	29.90173727	38.68822168	vapor
730	1								166.3435134	0.006011656	54.98812551	60.99978162	137.6411874	29.91155951	38.69561454	vapor
731	1								166.1073866	0.006020202	55.01827908	61.03848095	137.6941639	29.92140727	38.70305075	vapor
732	1								165.8719614	0.006028746	55.04844128	61.07718774	137.7470782	29.93128032	38.71052989	vapor
733	1								165.6372346	0.00603729	55.07861214	61.11590202	137.7999304	29.94117841	38.71805156	vapor
734	1								165.4032028	0.006045832	55.10879171	61.15462385	137.8527209	29.95110133	38.72561534	vapor
735	1								165.1698627	0.006054373	55.13898001	61.19335327	137.9054499	29.96104882	38.73322084	vapor
736	1								164.9372111	0.006062913	55.16917708	61.23209031	137.9581175	29.97102067	38.74086767	vapor
737	1								164.7052447	0.006071452	55.19938294	61.27083502	138.0107241	29.98101665	38.74855544	vapor
738	1								164.4739603	0.00607999	55.22959764	61.30958743	138.0632697	29.99103654	38.75628376	vapor
739	1								164.2433545	0.006088526	55.2598212	61.3483476	138.1157547	30.00108011	38.76405226	vapor
740	1								164.0134244	0.006097062	55.29005366	61.38711555	138.1681793	30.01114715	38.77186056	vapor
741	1								163.7841666	0.006105596	55.32029504	61.42589133	138.2205436	30.02123745	38.77970829	vapor
742	1								163.5555781	0.00611413	55.35054539	61.46467498	138.2728479	30.03135079	38.78759509	vapor
743	1								163.3276557	0.006122662	55.38080473	61.50346654	138.3250924	30.04148697	38.7955206	vapor
744	1								163.1003963	0.006131193	55.41107309	61.54226604	138.3772774	30.05164577	38.80348445	vapor
745	1								162.8737969	0.006139723	55.4413505	61.58107352	138.429403	30.061827	38.8114863	vapor
746	1								162.6478543	0.006148252	55.47163699	61.61988902	138.4814694	30.07203044	38.8195258	vapor
747	1								162.4225655	0.00615678	55.5019326	61.65871258	138.5334768	30.0822559	38.8276026	vapor
748	1								162.1979275	0.006165307	55.53223735	61.69754424	138.5854255	30.09250319	38.83571636	vapor
