Temperature (K)	Pressure (MPa)	"Density (l, mol/m3)"	"Volume (l, m3/mol)"	"Internal Energy (l, kJ/mol)"	"Enthalpy (l, kJ/mol)"	"Entropy (l, J/mol*K)"	"Cv (l, J/mol*K)"	"Cp (l, J/mol*K)"	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
475	2								47892	2.09E-05	15.465	15.507	42.289	59.647	81.127	1327.6	-0.087222	133.12	0.66255	liquid
476	2								47825	2.09E-05	15.546	15.588	42.459	59.582	81.226	1324.2	-0.085777	132.42	0.66191	liquid
477	2								47758	2.09E-05	15.628	15.669	42.63	59.517	81.327	1320.8	-0.084314	131.73	0.66126	liquid
478	2								47690	2.10E-05	15.709	15.751	42.8	59.453	81.429	1317.5	-0.082833	131.05	0.66061	liquid
479	2								47623	2.10E-05	15.79	15.832	42.971	59.388	81.533	1314	-0.081333	130.37	0.65994	liquid
480	2								47554	2.10E-05	15.872	15.914	43.141	59.325	81.638	1310.6	-0.079813	129.7	0.65926	liquid
481	2								47486	2.11E-05	15.954	15.996	43.311	59.261	81.745	1307.1	-0.078275	129.03	0.65857	liquid
482	2								47417	2.11E-05	16.035	16.077	43.481	59.198	81.853	1303.7	-0.076716	128.37	0.65787	liquid
483	2								47348	2.11E-05	16.117	16.159	43.65	59.135	81.963	1300.1	-0.075137	127.72	0.65716	liquid
484	2								47278	2.12E-05	16.199	16.241	43.82	59.072	82.075	1296.6	-0.073538	127.08	0.65644	liquid
485	2								47208	2.12E-05	16.281	16.323	43.99	59.01	82.188	1293.1	-0.071918	126.44	0.65571	liquid
485.53	2								47171	2.12E-05	16.324	16.367	44.079	58.977	82.249	1291.2	-0.071054	126.1	0.65532	liquid
485.53	2								557.4	0.0017941	46.824	50.412	114.2	38.886	57.487	504.7	22.025	16.144	0.042572	vapor
486	2								556.48	0.001797	46.845	50.439	114.25	38.683	57.144	505.23	21.941	16.166	0.042569	vapor
487	2								554.55	0.0018033	46.889	50.496	114.37	38.281	56.461	506.33	21.764	16.212	0.042565	vapor
488	2								552.65	0.0018095	46.933	50.552	114.49	37.913	55.83	507.4	21.591	16.258	0.042562	vapor
489	2								550.77	0.0018156	46.976	50.608	114.6	37.573	55.245	508.45	21.42	16.305	0.042562	vapor
490	2								548.92	0.0018217	47.019	50.663	114.71	37.259	54.702	509.47	21.252	16.351	0.042563	vapor
491	2								547.1	0.0018278	47.061	50.717	114.82	36.968	54.195	510.47	21.087	16.397	0.042567	vapor
492	2								545.3	0.0018338	47.103	50.771	114.93	36.698	53.721	511.46	20.924	16.443	0.042572	vapor
493	2								543.53	0.0018398	47.145	50.824	115.04	36.446	53.276	512.42	20.764	16.489	0.042579	vapor
494	2								541.77	0.0018458	47.186	50.877	115.15	36.21	52.858	513.37	20.606	16.535	0.042589	vapor
495	2								540.04	0.0018517	47.227	50.93	115.26	35.99	52.463	514.3	20.451	16.58	0.042599	vapor
496	2								538.32	0.0018576	47.267	50.982	115.36	35.782	52.09	515.22	20.298	16.626	0.042612	vapor
497	2								536.63	0.0018635	47.307	51.034	115.47	35.587	51.736	516.12	20.147	16.672	0.042626	vapor
498	2								534.96	0.0018693	47.347	51.086	115.57	35.402	51.401	517.02	19.998	16.718	0.042642	vapor
499	2								533.3	0.0018751	47.387	51.137	115.67	35.227	51.081	517.9	19.851	16.763	0.04266	vapor
500	2								531.66	0.0018809	47.426	51.188	115.77	35.061	50.776	518.77	19.706	16.809	0.042679	vapor
501	2								530.04	0.0018866	47.465	51.239	115.88	34.904	50.484	519.63	19.563	16.855	0.042699	vapor
502	2								528.44	0.0018924	47.504	51.289	115.98	34.753	50.205	520.48	19.422	16.9	0.042721	vapor
503	2								526.85	0.0018981	47.543	51.339	116.08	34.61	49.937	521.32	19.283	16.946	0.042745	vapor
504	2								525.28	0.0019037	47.581	51.389	116.17	34.473	49.68	522.16	19.145	16.991	0.04277	vapor
505	2								523.73	0.0019094	47.62	51.438	116.27	34.341	49.433	522.99	19.009	17.037	0.042796	vapor
506	2								522.19	0.001915	47.658	51.488	116.37	34.215	49.195	523.81	18.874	17.082	0.042824	vapor
507	2								520.66	0.0019206	47.696	51.537	116.47	34.094	48.965	524.62	18.742	17.128	0.042852	vapor
508	2								519.15	0.0019262	47.733	51.586	116.56	33.977	48.743	525.42	18.61	17.173	0.042883	vapor
509	2								517.66	0.0019318	47.771	51.634	116.66	33.865	48.528	526.22	18.48	17.218	0.042914	vapor
510	2								516.17	0.0019373	47.808	51.683	116.75	33.756	48.321	527.02	18.352	17.264	0.042947	vapor
511	2								514.7	0.0019429	47.845	51.731	116.85	33.652	48.12	527.8	18.225	17.309	0.042981	vapor
512	2								513.25	0.0019484	47.882	51.779	116.94	33.551	47.925	528.59	18.099	17.354	0.043016	vapor
513	2								511.81	0.0019539	47.919	51.827	117.04	33.453	47.736	529.36	17.975	17.399	0.043053	vapor
514	2								510.38	0.0019593	47.956	51.874	117.13	33.358	47.553	530.13	17.852	17.444	0.04309	vapor
515	2								508.96	0.0019648	47.992	51.922	117.22	33.266	47.375	530.9	17.73	17.49	0.043129	vapor
516	2								507.56	0.0019702	48.029	51.969	117.31	33.177	47.201	531.66	17.609	17.535	0.043169	vapor
517	2								506.16	0.0019756	48.065	52.016	117.4	33.091	47.033	532.42	17.49	17.58	0.04321	vapor
518	2								504.78	0.0019811	48.101	52.063	117.49	33.007	46.869	533.17	17.372	17.625	0.043252	vapor
519	2								503.41	0.0019864	48.137	52.11	117.58	32.926	46.71	533.92	17.255	17.67	0.043295	vapor
520	2								502.06	0.0019918	48.173	52.157	117.67	32.847	46.554	534.66	17.139	17.715	0.043339	vapor
521	2								500.71	0.0019972	48.209	52.203	117.76	32.77	46.403	535.4	17.025	17.76	0.043384	vapor
522	2								499.37	0.0020025	48.245	52.25	117.85	32.695	46.255	536.14	16.911	17.805	0.04343	vapor
523	2								498.05	0.0020078	48.28	52.296	117.94	32.622	46.111	536.87	16.799	17.85	0.043477	vapor
524	2								496.73	0.0020132	48.315	52.342	118.03	32.551	45.971	537.6	16.688	17.895	0.043525	vapor
525	2								495.43	0.0020185	48.351	52.388	118.12	32.482	45.834	538.32	16.578	17.939	0.043574	vapor
526	2								494.14	0.0020237	48.386	52.433	118.2	32.415	45.7	539.04	16.469	17.984	0.043624	vapor
527	2								492.85	0.002029	48.421	52.479	118.29	32.349	45.569	539.76	16.361	18.029	0.043675	vapor
528	2								491.58	0.0020343	48.456	52.525	118.38	32.285	45.442	540.47	16.254	18.074	0.043727	vapor
529	2								490.31	0.0020395	48.491	52.57	118.46	32.223	45.317	541.18	16.148	18.119	0.04378	vapor
530	2								489.06	0.0020447	48.526	52.615	118.55	32.162	45.196	541.89	16.043	18.163	0.043833	vapor
531	2								487.81	0.00205	48.56	52.66	118.63	32.103	45.077	542.59	15.939	18.208	0.043887	vapor
532	2								486.58	0.0020552	48.595	52.705	118.72	32.045	44.961	543.29	15.836	18.253	0.043943	vapor
533	2								485.35	0.0020604	48.63	52.75	118.8	31.989	44.847	543.99	15.734	18.298	0.043999	vapor
534	2								484.13	0.0020655	48.664	52.795	118.89	31.934	44.736	544.68	15.633	18.342	0.044056	vapor
535	2								482.92	0.0020707	48.698	52.84	118.97	31.88	44.627	545.37	15.532	18.387	0.044113	vapor
536	2								481.72	0.0020759	48.733	52.884	119.05	31.828	44.521	546.06	15.433	18.431	0.044172	vapor
537	2								480.53	0.002081	48.767	52.929	119.14	31.777	44.417	546.75	15.335	18.476	0.044231	vapor
538	2								479.35	0.0020862	48.801	52.973	119.22	31.727	44.315	547.43	15.238	18.521	0.044291	vapor
539	2								478.17	0.0020913	48.835	53.017	119.3	31.678	44.216	548.11	15.141	18.565	0.044352	vapor
540	2								477.01	0.0020964	48.869	53.062	119.38	31.631	44.118	548.78	15.046	18.61	0.044414	vapor
541	2								475.85	0.0021015	48.903	53.106	119.46	31.584	44.023	549.46	14.951	18.654	0.044476	vapor
542	2								474.7	0.0021066	48.936	53.15	119.55	31.539	43.929	550.13	14.857	18.699	0.044539	vapor
543	2								473.55	0.0021117	48.97	53.194	119.63	31.495	43.838	550.8	14.764	18.743	0.044603	vapor
544	2								472.42	0.0021168	49.004	53.237	119.71	31.452	43.749	551.46	14.672	18.788	0.044667	vapor
545	2								471.29	0.0021218	49.037	53.281	119.79	31.409	43.661	552.12	14.581	18.832	0.044732	vapor
546	2								470.17	0.0021269	49.071	53.325	119.87	31.368	43.575	552.78	14.491	18.876	0.044798	vapor
547	2								469.05	0.0021319	49.104	53.368	119.95	31.328	43.491	553.44	14.401	18.921	0.044865	vapor
548	2								467.95	0.002137	49.138	53.412	120.03	31.289	43.409	554.1	14.312	18.965	0.044932	vapor
549	2								466.85	0.002142	49.171	53.455	120.1	31.25	43.328	554.75	14.224	19.009	0.045	vapor
550	2								465.76	0.002147	49.204	53.498	120.18	31.213	43.249	555.4	14.137	19.054	0.045068	vapor
551	2								464.67	0.002152	49.237	53.541	120.26	31.176	43.172	556.05	14.051	19.098	0.045137	vapor
552	2								463.6	0.002157	49.271	53.585	120.34	31.14	43.096	556.7	13.965	19.142	0.045207	vapor
553	2								462.53	0.002162	49.304	53.628	120.42	31.105	43.022	557.34	13.88	19.187	0.045277	vapor
554	2								461.46	0.002167	49.337	53.671	120.5	31.071	42.949	557.98	13.796	19.231	0.045348	vapor
555	2								460.4	0.002172	49.37	53.714	120.57	31.038	42.878	558.62	13.713	19.275	0.04542	vapor
556	2								459.35	0.002177	49.402	53.756	120.65	31.006	42.808	559.26	13.63	19.319	0.045492	vapor
557	2								458.31	0.0021819	49.435	53.799	120.73	30.974	42.739	559.89	13.549	19.364	0.045565	vapor
558	2								457.27	0.0021869	49.468	53.842	120.8	30.943	42.672	560.52	13.468	19.408	0.045638	vapor
559	2								456.24	0.0021918	49.501	53.885	120.88	30.913	42.606	561.16	13.387	19.452	0.045712	vapor
560	2								455.21	0.0021968	49.534	53.927	120.96	30.883	42.542	561.78	13.307	19.496	0.045786	vapor
561	2								454.19	0.0022017	49.566	53.97	121.03	30.854	42.479	562.41	13.229	19.54	0.045861	vapor
562	2								453.18	0.0022066	49.599	54.012	121.11	30.826	42.416	563.04	13.15	19.584	0.045937	vapor
563	2								452.17	0.0022115	49.631	54.054	121.18	30.798	42.356	563.66	13.073	19.628	0.046013	vapor
564	2								451.17	0.0022164	49.664	54.097	121.26	30.772	42.296	564.28	12.996	19.673	0.04609	vapor
565	2								450.18	0.0022213	49.696	54.139	121.33	30.745	42.238	564.9	12.92	19.717	0.046167	vapor
566	2								449.19	0.0022262	49.729	54.181	121.41	30.72	42.18	565.51	12.844	19.761	0.046245	vapor
567	2								448.2	0.0022311	49.761	54.223	121.48	30.695	42.124	566.13	12.769	19.805	0.046323	vapor
568	2								447.23	0.002236	49.793	54.265	121.56	30.67	42.069	566.74	12.695	19.849	0.046401	vapor
569	2								446.25	0.0022409	49.826	54.308	121.63	30.647	42.015	567.35	12.621	19.893	0.046481	vapor
570	2								445.29	0.0022457	49.858	54.35	121.7	30.623	41.962	567.96	12.548	19.937	0.04656	vapor
571	2								444.32	0.0022506	49.89	54.391	121.78	30.601	41.91	568.57	12.476	19.981	0.046641	vapor
572	2								443.37	0.0022555	49.922	54.433	121.85	30.579	41.859	569.17	12.404	20.025	0.046721	vapor
573	2								442.42	0.0022603	49.955	54.475	121.92	30.557	41.809	569.78	12.333	20.069	0.046802	vapor
574	2								441.47	0.0022652	49.987	54.517	122	30.536	41.76	570.38	12.263	20.112	0.046884	vapor
575	2								440.53	0.00227	50.019	54.559	122.07	30.516	41.712	570.98	12.193	20.156	0.046966	vapor
576	2								439.6	0.0022748	50.051	54.6	122.14	30.496	41.665	571.58	12.124	20.2	0.047049	vapor
577	2								438.67	0.0022796	50.083	54.642	122.21	30.476	41.618	572.18	12.055	20.244	0.047132	vapor
578	2								437.74	0.0022845	50.115	54.684	122.29	30.457	41.573	572.77	11.987	20.288	0.047215	vapor
579	2								436.82	0.0022893	50.147	54.725	122.36	30.439	41.529	573.37	11.919	20.332	0.047299	vapor
580	2								435.91	0.0022941	50.179	54.767	122.43	30.421	41.485	573.96	11.852	20.376	0.047383	vapor
581	2								435	0.0022989	50.21	54.808	122.5	30.403	41.442	574.55	11.786	20.419	0.047468	vapor
582	2								434.09	0.0023037	50.242	54.85	122.57	30.386	41.4	575.14	11.72	20.463	0.047553	vapor
583	2								433.19	0.0023085	50.274	54.891	122.64	30.369	41.359	575.72	11.655	20.507	0.047639	vapor
584	2								432.29	0.0023132	50.306	54.932	122.71	30.353	41.318	576.31	11.59	20.551	0.047725	vapor
585	2								431.4	0.002318	50.338	54.974	122.78	30.337	41.279	576.89	11.526	20.595	0.047811	vapor
586	2								430.52	0.0023228	50.369	55.015	122.86	30.322	41.24	577.48	11.462	20.638	0.047898	vapor
587	2								429.63	0.0023276	50.401	55.056	122.93	30.307	41.202	578.06	11.399	20.682	0.047985	vapor
588	2								428.76	0.0023323	50.433	55.097	123	30.292	41.164	578.64	11.336	20.726	0.048073	vapor
589	2								427.88	0.0023371	50.464	55.138	123.07	30.278	41.127	579.22	11.274	20.769	0.048161	vapor
590	2								427.02	0.0023418	50.496	55.18	123.14	30.264	41.091	579.79	11.213	20.813	0.048249	vapor
591	2								426.15	0.0023466	50.527	55.221	123.2	30.251	41.056	580.37	11.152	20.857	0.048338	vapor
592	2								425.29	0.0023513	50.559	55.262	123.27	30.238	41.021	580.94	11.091	20.9	0.048427	vapor
593	2								424.44	0.0023561	50.59	55.303	123.34	30.225	40.987	581.52	11.031	20.944	0.048517	vapor
594	2								423.59	0.0023608	50.622	55.344	123.41	30.213	40.954	582.09	10.971	20.988	0.048607	vapor
595	2								422.74	0.0023655	50.653	55.385	123.48	30.201	40.921	582.66	10.912	21.031	0.048697	vapor
596	2								421.9	0.0023702	50.685	55.425	123.55	30.189	40.889	583.22	10.854	21.075	0.048787	vapor
597	2								421.06	0.002375	50.716	55.466	123.62	30.178	40.858	583.79	10.796	21.119	0.048878	vapor
598	2								420.22	0.0023797	50.748	55.507	123.69	30.167	40.827	584.36	10.738	21.162	0.04897	vapor
599	2								419.39	0.0023844	50.779	55.548	123.76	30.156	40.796	584.92	10.681	21.206	0.049062	vapor
600	2								418.57	0.0023891	50.811	55.589	123.82	30.146	40.767	585.49	10.624	21.249	0.049154	vapor
601	2								417.75	0.0023938	50.842	55.629	123.89	30.136	40.737	586.05	10.568	21.293	0.049246	vapor
602	2								416.93	0.0023985	50.873	55.67	123.96	30.126	40.709	586.61	10.512	21.336	0.049339	vapor
603	2								416.11	0.0024032	50.905	55.711	124.03	30.117	40.681	587.17	10.456	21.38	0.049432	vapor
604	2								415.3	0.0024079	50.936	55.752	124.09	30.108	40.653	587.72	10.401	21.423	0.049525	vapor
605	2								414.5	0.0024126	50.967	55.792	124.16	30.099	40.626	588.28	10.347	21.467	0.049619	vapor
606	2								413.69	0.0024172	50.998	55.833	124.23	30.09	40.6	588.84	10.293	21.51	0.049713	vapor
607	2								412.9	0.0024219	51.03	55.873	124.29	30.082	40.574	589.39	10.239	21.554	0.049807	vapor
608	2								412.1	0.0024266	51.061	55.914	124.36	30.074	40.548	589.94	10.186	21.597	0.049902	vapor
609	2								411.31	0.0024313	51.092	55.955	124.43	30.067	40.523	590.5	10.133	21.64	0.049997	vapor
610	2								410.52	0.0024359	51.123	55.995	124.49	30.059	40.499	591.05	10.081	21.684	0.050092	vapor
611	2								409.74	0.0024406	51.154	56.036	124.56	30.052	40.475	591.6	10.029	21.727	0.050188	vapor
612	2								408.96	0.0024452	51.185	56.076	124.63	30.045	40.451	592.14	9.9769	21.771	0.050284	vapor
613	2								408.18	0.0024499	51.217	56.116	124.69	30.039	40.428	592.69	9.9257	21.814	0.05038	vapor
614	2								407.41	0.0024545	51.248	56.157	124.76	30.032	40.405	593.24	9.8749	21.857	0.050476	vapor
615	2								406.64	0.0024592	51.279	56.197	124.82	30.026	40.383	593.78	9.8245	21.901	0.050573	vapor
616	2								405.87	0.0024638	51.31	56.238	124.89	30.02	40.361	594.33	9.7744	21.944	0.05067	vapor
617	2								405.11	0.0024685	51.341	56.278	124.96	30.015	40.34	594.87	9.7248	21.987	0.050768	vapor
618	2								404.35	0.0024731	51.372	56.318	125.02	30.009	40.319	595.41	9.6755	22.031	0.050865	vapor
619	2								403.59	0.0024777	51.403	56.359	125.09	30.004	40.299	595.95	9.6266	22.074	0.050963	vapor
620	2								402.84	0.0024824	51.434	56.399	125.15	29.999	40.278	596.49	9.578	22.117	0.051062	vapor
621	2								402.09	0.002487	51.465	56.439	125.22	29.994	40.259	597.03	9.5299	22.161	0.05116	vapor
622	2								401.35	0.0024916	51.496	56.479	125.28	29.99	40.239	597.56	9.4821	22.204	0.051259	vapor
623	2								400.6	0.0024962	51.527	56.52	125.35	29.986	40.221	598.1	9.4346	22.247	0.051358	vapor
624	2								399.87	0.0025008	51.558	56.56	125.41	29.982	40.202	598.63	9.3875	22.29	0.051457	vapor
625	2								399.13	0.0025055	51.589	56.6	125.47	29.978	40.184	599.17	9.3408	22.334	0.051557	vapor
626	2								398.4	0.0025101	51.62	56.64	125.54	29.974	40.166	599.7	9.2944	22.377	0.051657	vapor
627	2								397.67	0.0025147	51.651	56.68	125.6	29.971	40.149	600.23	9.2484	22.42	0.051757	vapor
628	2								396.94	0.0025193	51.682	56.72	125.67	29.967	40.132	600.76	9.2027	22.463	0.051857	vapor
629	2								396.22	0.0025239	51.713	56.761	125.73	29.964	40.115	601.29	9.1573	22.506	0.051958	vapor
630	2								395.5	0.0025285	51.744	56.801	125.79	29.961	40.098	601.82	9.1123	22.549	0.052059	vapor
631	2								394.78	0.0025331	51.775	56.841	125.86	29.959	40.082	602.35	9.0676	22.593	0.05216	vapor
632	2								394.07	0.0025376	51.806	56.881	125.92	29.956	40.067	602.88	9.0232	22.636	0.052261	vapor
633	2								393.36	0.0025422	51.836	56.921	125.98	29.954	40.051	603.4	8.9792	22.679	0.052363	vapor
634	2								392.65	0.0025468	51.867	56.961	126.05	29.952	40.036	603.93	8.9354	22.722	0.052465	vapor
635	2								391.94	0.0025514	51.898	57.001	126.11	29.95	40.022	604.45	8.892	22.765	0.052567	vapor
636	2								391.24	0.002556	51.929	57.041	126.17	29.948	40.007	604.97	8.849	22.808	0.052669	vapor
637	2								390.54	0.0025605	51.96	57.081	126.24	29.946	39.993	605.5	8.8062	22.851	0.052772	vapor
638	2								389.85	0.0025651	51.991	57.121	126.3	29.945	39.979	606.02	8.7637	22.894	0.052875	vapor
639	2								389.15	0.0025697	52.022	57.161	126.36	29.944	39.966	606.54	8.7215	22.937	0.052978	vapor
640	2								388.46	0.0025742	52.052	57.201	126.42	29.943	39.953	607.06	8.6797	22.98	0.053081	vapor
641	2								387.78	0.0025788	52.083	57.241	126.49	29.942	39.94	607.57	8.6381	23.023	0.053185	vapor
642	2								387.09	0.0025834	52.114	57.281	126.55	29.941	39.927	608.09	8.5969	23.066	0.053288	vapor
643	2								386.41	0.0025879	52.145	57.321	126.61	29.94	39.915	608.61	8.5559	23.109	0.053392	vapor
644	2								385.73	0.0025925	52.176	57.361	126.67	29.94	39.903	609.12	8.5152	23.152	0.053497	vapor
645	2								385.06	0.002597	52.206	57.401	126.74	29.94	39.891	609.64	8.4748	23.195	0.053601	vapor
646	2								384.38	0.0026016	52.237	57.44	126.8	29.939	39.879	610.15	8.4347	23.238	0.053706	vapor
647	2								383.71	0.0026061	52.268	57.48	126.86	29.939	39.868	610.66	8.3949	23.281	0.05381	vapor
648	2								383.04	0.0026107	52.299	57.52	126.92	29.939	39.857	611.18	8.3554	23.324	0.053916	vapor
649	2								382.38	0.0026152	52.33	57.56	126.98	29.94	39.847	611.69	8.3161	23.367	0.054021	vapor
650	2								381.72	0.0026198	52.36	57.6	127.04	29.94	39.836	612.2	8.2771	23.41	0.054126	vapor
651	2								381.06	0.0026243	52.391	57.64	127.1	29.941	39.826	612.71	8.2384	23.453	0.054232	vapor
652	2								380.4	0.0026288	52.422	57.68	127.17	29.941	39.816	613.21	8.1999	23.496	0.054338	vapor
653	2								379.74	0.0026334	52.453	57.719	127.23	29.942	39.806	613.72	8.1618	23.539	0.054444	vapor
654	2								379.09	0.0026379	52.483	57.759	127.29	29.943	39.797	614.23	8.1238	23.582	0.05455	vapor
655	2								378.44	0.0026424	52.514	57.799	127.35	29.944	39.787	614.73	8.0862	23.624	0.054657	vapor
656	2								377.8	0.0026469	52.545	57.839	127.41	29.945	39.778	615.24	8.0488	23.667	0.054764	vapor
657	2								377.15	0.0026515	52.576	57.878	127.47	29.947	39.77	615.74	8.0116	23.71	0.054871	vapor
658	2								376.51	0.002656	52.606	57.918	127.53	29.948	39.761	616.25	7.9748	23.753	0.054978	vapor
659	2								375.87	0.0026605	52.637	57.958	127.59	29.95	39.753	616.75	7.9381	23.796	0.055085	vapor
660	2								375.23	0.002665	52.668	57.998	127.65	29.951	39.745	617.25	7.9017	23.838	0.055193	vapor
661	2								374.6	0.0026695	52.698	58.038	127.71	29.953	39.737	617.75	7.8656	23.881	0.0553	vapor
662	2								373.97	0.002674	52.729	58.077	127.77	29.955	39.729	618.25	7.8297	23.924	0.055408	vapor
663	2								373.34	0.0026785	52.76	58.117	127.83	29.957	39.722	618.75	7.794	23.967	0.055516	vapor
664	2								372.71	0.002683	52.791	58.157	127.89	29.959	39.714	619.25	7.7586	24.009	0.055624	vapor
665	2								372.09	0.0026875	52.821	58.196	127.95	29.962	39.707	619.75	7.7235	24.052	0.055733	vapor
666	2								371.46	0.002692	52.852	58.236	128.01	29.964	39.7	620.24	7.6885	24.095	0.055842	vapor
667	2								370.84	0.0026965	52.883	58.276	128.07	29.967	39.694	620.74	7.6538	24.138	0.05595	vapor
668	2								370.23	0.002701	52.913	58.315	128.13	29.969	39.687	621.24	7.6193	24.18	0.056059	vapor
669	2								369.61	0.0027055	52.944	58.355	128.19	29.972	39.681	621.73	7.5851	24.223	0.056169	vapor
670	2								369	0.00271	52.975	58.395	128.25	29.975	39.675	622.22	7.5511	24.266	0.056278	vapor
671	2								368.39	0.0027145	53.005	58.435	128.31	29.978	39.669	622.72	7.5173	24.308	0.056388	vapor
672	2								367.78	0.002719	53.036	58.474	128.37	29.981	39.663	623.21	7.4837	24.351	0.056497	vapor
673	2								367.17	0.0027235	53.067	58.514	128.42	29.984	39.658	623.7	7.4503	24.394	0.056607	vapor
674	2								366.57	0.002728	53.098	58.553	128.48	29.987	39.653	624.19	7.4172	24.436	0.056717	vapor
675	2								365.97	0.0027325	53.128	58.593	128.54	29.991	39.647	624.68	7.3843	24.479	0.056828	vapor
676	2								365.37	0.0027369	53.159	58.633	128.6	29.994	39.642	625.17	7.3516	24.521	0.056938	vapor
677	2								364.77	0.0027414	53.19	58.672	128.66	29.998	39.638	625.66	7.3191	24.564	0.057049	vapor
678	2								364.18	0.0027459	53.22	58.712	128.72	30.001	39.633	626.15	7.2868	24.607	0.057159	vapor
679	2								363.59	0.0027504	53.251	58.752	128.78	30.005	39.629	626.64	7.2548	24.649	0.05727	vapor
680	2								363	0.0027549	53.282	58.791	128.84	30.009	39.624	627.12	7.2229	24.692	0.057381	vapor
681	2								362.41	0.0027593	53.312	58.831	128.89	30.013	39.62	627.61	7.1912	24.734	0.057493	vapor
682	2								361.82	0.0027638	53.343	58.871	128.95	30.017	39.616	628.09	7.1598	24.777	0.057604	vapor
683	2								361.24	0.0027683	53.374	58.91	129.01	30.021	39.612	628.58	7.1285	24.819	0.057716	vapor
684	2								360.66	0.0027727	53.404	58.95	129.07	30.025	39.609	629.06	7.0975	24.862	0.057827	vapor
685	2								360.08	0.0027772	53.435	58.989	129.13	30.029	39.605	629.54	7.0666	24.904	0.057939	vapor
686	2								359.5	0.0027817	53.466	59.029	129.18	30.033	39.602	630.03	7.036	24.947	0.058051	vapor
687	2								358.92	0.0027861	53.496	59.069	129.24	30.038	39.599	630.51	7.0055	24.989	0.058164	vapor
688	2								358.35	0.0027906	53.527	59.108	129.3	30.042	39.596	630.99	6.9752	25.032	0.058276	vapor
689	2								357.78	0.002795	53.558	59.148	129.36	30.047	39.593	631.47	6.9452	25.074	0.058389	vapor
690	2								357.21	0.0027995	53.588	59.187	129.41	30.052	39.59	631.95	6.9153	25.117	0.058501	vapor
691	2								356.64	0.0028039	53.619	59.227	129.47	30.056	39.588	632.43	6.8856	25.159	0.058614	vapor
692	2								356.08	0.0028084	53.65	59.267	129.53	30.061	39.585	632.91	6.8561	25.201	0.058727	vapor
693	2								355.51	0.0028128	53.68	59.306	129.59	30.066	39.583	633.38	6.8267	25.244	0.05884	vapor
694	2								354.95	0.0028173	53.711	59.346	129.64	30.071	39.581	633.86	6.7976	25.286	0.058954	vapor
695	2								354.39	0.0028217	53.742	59.385	129.7	30.076	39.579	634.34	6.7686	25.329	0.059067	vapor
696	2								353.84	0.0028262	53.773	59.425	129.76	30.081	39.577	634.81	6.7398	25.371	0.059181	vapor
697	2								353.28	0.0028306	53.803	59.464	129.81	30.087	39.575	635.29	6.7112	25.413	0.059295	vapor
698	2								352.73	0.0028351	53.834	59.504	129.87	30.092	39.574	635.76	6.6828	25.456	0.059408	vapor
699	2								352.17	0.0028395	53.865	59.544	129.93	30.097	39.572	636.24	6.6545	25.498	0.059522	vapor
700	2								351.63	0.0028439	53.895	59.583	129.98	30.103	39.571	636.71	6.6265	25.54	0.059637	vapor
701	2								351.08	0.0028484	53.926	59.623	130.04	30.108	39.57	637.18	6.5986	25.583	0.059751	vapor
702	2								350.53	0.0028528	53.957	59.662	130.1	30.114	39.569	637.65	6.5708	25.625	0.059866	vapor
703	2								349.99	0.0028572	53.987	59.702	130.15	30.119	39.568	638.12	6.5432	25.667	0.05998	vapor
704	2								349.45	0.0028617	54.018	59.741	130.21	30.125	39.567	638.59	6.5158	25.709	0.060095	vapor
705	2								348.91	0.0028661	54.049	59.781	130.26	30.131	39.566	639.06	6.4886	25.752	0.06021	vapor
706	2								348.37	0.0028705	54.08	59.821	130.32	30.137	39.565	639.53	6.4615	25.794	0.060325	vapor
707	2								347.83	0.002875	54.11	59.86	130.38	30.143	39.565	640	6.4346	25.836	0.06044	vapor
708	2								347.3	0.0028794	54.141	59.9	130.43	30.149	39.565	640.47	6.4079	25.878	0.060556	vapor
709	2								346.76	0.0028838	54.172	59.939	130.49	30.155	39.564	640.94	6.3813	25.921	0.060671	vapor
710	2								346.23	0.0028882	54.202	59.979	130.54	30.161	39.564	641.4	6.3549	25.963	0.060787	vapor
711	2								345.7	0.0028927	54.233	60.018	130.6	30.167	39.564	641.87	6.3286	26.005	0.060902	vapor
712	2								345.18	0.0028971	54.264	60.058	130.66	30.173	39.564	642.34	6.3025	26.047	0.061018	vapor
713	2								344.65	0.0029015	54.295	60.098	130.71	30.18	39.565	642.8	6.2766	26.089	0.061134	vapor
714	2								344.13	0.0029059	54.325	60.137	130.77	30.186	39.565	643.27	6.2508	26.131	0.06125	vapor
715	2								343.6	0.0029103	54.356	60.177	130.82	30.192	39.565	643.73	6.2251	26.174	0.061367	vapor
716	2								343.08	0.0029147	54.387	60.216	130.88	30.199	39.566	644.19	6.1996	26.216	0.061483	vapor
717	2								342.57	0.0029192	54.417	60.256	130.93	30.205	39.567	644.66	6.1743	26.258	0.0616	vapor
718	2								342.05	0.0029236	54.448	60.295	130.99	30.212	39.567	645.12	6.1491	26.3	0.061716	vapor
719	2								341.53	0.002928	54.479	60.335	131.04	30.219	39.568	645.58	6.124	26.342	0.061833	vapor
